报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),4873,5252,8370,3333,4177,5329,5430,4151,3606,2972,2307,7644,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,30,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),15902,15430,10008,5689,12105,7758,8648,3631,5885,792,461,2400,
应收账款(万元),22417,27597,26292,27342,19639,23900,26394,28193,22225,26773,24327,27349,
预付款项(万元),2704,1517,3881,2391,712,764,127,203,228,371,263,279,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),486,628,480,353,506,348,366,541,597,615,2110,5133,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),30228,26516,25531,19327,16567,17488,18038,22539,21324,23711,22908,19709,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),10935,13718,14952,147,19,6,--,--,--,--,26,26,
流动资产合计(万元),87545,90659,89514,58583,53725,55593,59002,59257,53865,55233,52401,62570,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,4656,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,4327,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),949,963,978,992,1007,1021,1050,1108,1137,1166,2094,1949,
固定资产原值(万元),--,44287,--,39673,--,37786,37128,33372,32127,30871,--,25908,
累计折旧(万元),--,20072,--,18573,--,17386,16378,14667,13438,12069,--,7740,
固定资产净值(万元),--,24215,--,21101,--,20400,20750,18705,18689,18802,--,18168,
固定资产减值准备(万元),--,243,--,243,--,243,296,148,148,148,--,129,
固定资产(万元),24939,23972,21510,20857,20066,20157,20454,18557,18540,18653,18877,18039,
在建工程(万元),5304,3076,1193,1528,865,902,342,303,234,150,--,1030,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
