报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),18775,90422,90336,92959,89674,68859,73319,91349,91322,82019,49590,42524,45493,36419,43958,36023,38409,31676,30615,54753,5101,8305,13902,4290,12359,21039,7197,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),180,320,395,612,206,1146,249,1901,670,309,650,550,463,300,100,33,--,50,--,--,--,--,--,--,--,--,--,
应收账款(万元),27820,30892,29351,22227,22213,23943,20833,21416,20628,21649,21014,20375,21672,18887,22026,16214,14582,16053,16204,15000,13205,13470,12549,11789,12242,9591,6775,
预付款项(万元),85278,33116,28417,34236,18776,10555,13460,1412,5501,4872,4207,10097,6094,2379,4519,3879,3633,1425,2137,2014,3616,1006,768,3199,1839,908,451,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,2540,2181,1624,1788,1581,1740,809,862,548,522,579,914,586,1410,447,452,453,447,842,881,490,294,425,228,221,170,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),149115,92751,87270,81930,62994,58374,55363,47039,42342,45934,46965,40022,33643,43979,51475,58349,53596,50344,49913,47453,46154,42671,28814,24290,12407,22791,26149,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),35580,750,750,--,3000,5000,6000,--,1750,1800,28000,27900,27800,25800,5000,5000,8000,12000,10000,--,--,--,--,16100,17600,2900,--,
流动资产合计(万元),319716,250792,238700,233588,198651,169458,170963,163927,163075,157129,150949,142046,136081,128351,128487,119946,118672,112001,109316,120062,68958,65942,56326,60093,56676,57450,40743,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),48,48,72,72,72,72,113,113,113,113,1210,1210,1210,1210,1210,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,120699,--,91123,--,88361,--,81728,--,79635,--,73293,--,69492,--,67182,--,66571,--,60297,--,59043,46379,43456,--,--,--,
累计折旧(万元),--,42294,--,36376,--,33569,--,31193,--,29030,--,27096,--,24732,--,22764,--,20428,--,18448,--,16326,12847,11385,--,--,--,
固定资产净值(万元),--,78405,--,54746,--,54792,--,50535,--,50605,--,46198,--,44760,--,44418,--,46142,--,41849,--,42716,33532,32071,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,78405,53978,54746,54776,54792,50808,50535,49721,50605,46778,46198,44980,44760,43721,44418,45124,46142,41493,41849,41619,42716,33532,32071,30726,26534,27314,
在建工程(万元),--,8626,10041,8792,6518,4696,1806,941,1279,805,2677,2122,1987,1842,816,378,367,127,3055,2518,2790,1844,2877,2286,3763,2941,256,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,6,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),2542,2698,2593,2629,2515,2438,2466,2424,2378,2254,2158,2231,2231,2324,2314,2334,2323,2338,2161,2026,2079,2027,1707,1636,1295,841,577,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5234,5304,3686,3740,3795,3706,3690,3721,3812,3783,3324,3359,3261,3295,3307,3330,3368,3329,3361,3368,3399,3431,3443,3466,3402,3511,3567,
开发支出(万元),0,--,--,--,--,--,26,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),5982,5982,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),341,335,345,363,345,362,367,383,246,256,265,275,285,295,305,315,324,334,344,354,364,374,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),720,712,642,1133,1068,1038,900,694,1404,1297,16,39,39,30,19,26,23,12,9,7,4,4,5,3,3,5,8,
其他非流动资产(万元),23749,22560,21526,19257,17094,17806,19735,16269,14092,13666,12568,11531,10308,10954,10576,10920,9886,9726,8971,8475,7544,7367,5191,--,1628,--,--,
非流动资产合计(万元),125533,124671,92883,90733,86184,84911,79910,75092,73044,72779,68996,66965,64301,64709,62268,61721,61414,62007,59394,58596,57799,57763,46755,39462,40819,33839,31722,
资产总计(万元),445249,375463,331583,324321,284835,254370,250873,239019,236119,229908,219946,209011,200382,193060,190755,181668,180087,174008,168710,178658,126757,123705,103080,99554,97495,91289,72465,
短期借款(万元),41250,66650,53200,56000,24300,5300,5300,5300,3800,4700,3500,3500,3000,3500,5000,5000,5000,3000,2000,16000,12465,10500,2970,--,--,8190,9880,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
