报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),96197,73744,85293,96534,123116,65421,79453,106479,117927,46200,55863,47002,60105,53723,21814,20001,93705,9645,23803,34876,19188,18346,27502,44109,46223,45344,58853,73182,72464,73094,75588,80255,82900,83561,88391,95452,9496,11412,10172,10023,4523,
结算备付金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),3252,3596,3464,2090,2966,3610,4050,4044,4719,1763,1842,1873,6357,6770,6939,4065,8115,7666,4505,2566,1967,1987,1430,2643,1398,1577,1725,1587,638,200,1202,1050,350,410,60,0,0,30,450,0,0,
应收账款(万元),571512,558948,423619,502128,482854,505612,435070,443327,457740,426042,405716,374706,389682,369520,340615,308821,351669,311093,285385,249284,218630,173645,165890,133426,122707,103012,94328,86101,79005,74317,67863,64365,52831,47095,43383,38511,28417,21769,19807,14618,17596,
预付款项(万元),39601,48697,72324,39006,61024,52783,27600,21437,52270,38892,34607,21036,19501,55979,31821,21290,43710,40415,35126,20341,37839,41467,38143,30723,34969,31938,15043,9879,13123,6974,6368,3614,4385,4029,3317,1822,2522,1340,2153,1678,1381,
应收保费(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
