报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),232676,318390,465309,544846,535946,690039,616904,699076,677233,624828,651579,923612,951367,1136700,990036,769267,950227,1054368,1371206,1380588,960138,689965,708580,735197,620414,468655,387816,369471,347547,362944,377862,289311,268915,198466,167978,207440,231268,158820,106973,77585,26537,29965,23861,14816,29305,8195,0,2490,6436,4908,323,162,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
交易性金融资产(万元),287,1458,8318,12089,17248,9722,13125,9560,8312,6258,971,2309,4519,3469,338,831,147,669,1574,675,2631,--,230,229,147,37,--,14,55,--,474,592,--,--,604,745,544,582,358,273,--,57,--,0,--,0,0,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
应收票据(万元),--,--,2000,15257,26908,11677,3600,3526,882,480,--,30,300,109604,1503,1814,7213,10889,11053,33002,27077,72931,47244,19229,74366,35940,6562,22118,47165,18460,6074,6076,3785,1381,0,0,50,4340,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
应收账款(万元),162164,167234,308766,214931,217409,245978,243540,247884,301077,300476,289450,271632,258560,199653,187941,115789,130546,130244,99021,84274,88426,92355,66765,58374,111009,119042,111035,100719,126074,133842,50694,52278,45653,97319,38262,27544,20831,28375,34934,37476,18669,24179,25279,15610,14071,15321,0,9615,7102,6340,13203,6073,
预付款项(万元),876496,877337,916142,845393,822794,585039,776942,723140,634056,603221,749870,655912,700593,502522,734612,641220,523038,404363,442724,293030,427511,322899,430671,395493,261393,260596,172777,189119,195958,141637,178451,135727,145428,105997,80844,41243,59520,50922,15517,14363,21676,24465,16226,3089,13436,7361,0,4501,634,1462,39,60,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
应收利息(万元),3631,3272,--,10911,10212,8386,9162,8642,6556,5930,7682,10191,12745,13085,7173,5570,18714,25971,18174,9393,4056,5708,6253,6366,4406,2441,4080,3265,2382,3443,1245,1017,11,1603,1057,603,836,1000,--,10,11,113,--,0,--,0,0,--,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,--,--,0,--,0,0,--,0,0,--,--,
