报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),212097,218277,223857,265694,345747,254240,208603,236416,239623,277543,225295,176555,101569,143330,92270,170718,66005,117784,69163,95194,124656,138317,119086,123364,113434,131830,134922,126535,128649,146208,133677,20523,36562,24823,24580,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2998,4603,6384,7439,4513,8642,3574,2354,6739,7399,5488,2651,4822,9976,1858,1799,2179,4706,1600,2900,3348,2618,298,565,311,2527,2195,2072,1503,893,25,492,--,15,567,
应收账款(万元),288827,284721,255965,244746,196125,195168,208359,192081,146043,158632,147992,156770,136995,109768,166343,150809,119653,113580,104121,77418,67150,70918,77618,67186,72072,71617,64170,53209,51069,48273,40256,41391,21048,24327,19944,
预付款项(万元),6769,10836,12240,11305,5774,7174,4168,2974,5489,3318,65701,3561,16387,11860,10999,14681,7259,3414,13120,3520,2305,752,3380,6389,6325,1845,5031,4561,5940,2024,5220,6475,1371,3388,985,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),302,269,234,200,166,132,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1195,794,728,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,270,270,270,270,270,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,5329,--,4645,4414,3312,3115,2838,2117,2143,2751,3158,3748,1835,3363,2191,1698,1409,2245,1807,1539,1538,1674,1771,1884,1550,2407,2128,1564,1570,2406,1777,1245,2045,9587,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),52097,45980,64689,38344,46360,38902,49825,41598,36918,29927,38079,58302,50842,43240,50610,49026,43728,37836,47816,36722,33818,40380,53786,66258,56747,50947,57371,53576,45610,44964,53388,48858,28012,18444,9260,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),1694,3262,2228,2956,2945,3146,905,696,680,1277,1552,5062,1079,1859,2881,2099,2099,4355,2883,2861,1231,1243,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),127836,134370,143784,127405,74895,190224,14550,19972,88014,66046,152045,213842,83496,79962,102916,52016,22993,1685,60000,47000,26000,18000,20016,15032,19000,20000,--,--,--,--,1,--,--,--,--,
流动资产合计(万元),698524,707649,714365,702735,680940,700942,493098,498929,525624,546285,638903,619900,398938,401829,431239,443340,265884,285039,301219,267692,260316,273767,275856,280566,269773,280315,266095,243276,235128,244660,234972,119517,88238,73043,64924,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,3936,5189,3689,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),604,604,580,603,1000,1048,3712,4042,4715,6106,6147,2732,7335,7955,5830,8069,8069,6374,6450,5558,2785,2101,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),11035,10854,7869,7323,7462,7517,7102,7000,6871,7093,6703,7465,6578,6754,6316,6436,6389,6053,5590,5177,5121,5555,5517,5497,5223,5397,5238,4956,5047,4984,4739,4826,5050,5148,4208,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,1002410,--,980658,--,880452,--,761841,--,618538,--,409584,--,196187,--,151437,--,59110,--,54596,--,51347,--,48381,--,47178,--,42054,--,40385,--,--,31451,26385,--,
累计折旧(万元),--,112142,--,91997,--,76888,--,61790,--,44677,--,30811,--,24856,--,21529,--,18995,--,17749,--,16285,--,14895,--,13297,--,11825,--,10788,--,--,8244,5696,--,
固定资产净值(万元),--,890268,--,888661,--,803564,--,700050,--,573861,--,378774,--,171331,--,129908,--,40115,--,36847,--,35062,--,33486,--,33881,--,30229,--,29597,--,--,23207,20689,--,
固定资产减值准备(万元),--,1139,--,1139,--,1139,--,1139,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,889129,890674,887522,835378,802425,725729,698912,611950,573861,389986,378774,266667,171331,144792,129908,117564,40115,37520,36847,34547,35062,33131,33486,34043,33881,33135,30229,28183,29597,23580,23411,23207,20689,16740,
在建工程(万元),--,17407,29816,13470,28121,33519,34639,13515,17294,23448,20300,11169,25073,19469,7677,13516,11150,59525,1539,87,113,40,1614,1608,1612,1513,169,2269,2342,1659,2308,1493,288,--,1313,
工程物资(万元),--,1249,--,14737,19883,8880,6273,5957,22139,24461,45245,350,5596,22893,3545,52,52,1905,287,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),5306,5243,2594,132,128,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),12229,12319,11887,12002,12120,12120,11808,11939,12052,6008,5694,5491,5440,5368,4420,4259,4284,4336,4405,4339,4381,4417,4394,4388,4414,4447,4421,4446,4467,4447,1843,1854,1875,1911,4970,
开发支出(万元),--,--,3137,2391,781,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,263,263,263,263,263,263,264,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,--,
长期待摊费用(万元),7153,7459,7118,7125,6824,4410,4548,4041,3811,4268,2167,2575,1984,2339,1322,1409,1482,1296,1062,1088,1015,1093,406,345,381,277,135,73,84,208,141,174,239,61,67,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),5530,5802,5776,5632,5490,5994,5197,4976,4786,5003,2517,2437,1600,1688,1980,1846,1448,1320,1212,1064,971,1072,867,784,858,842,630,522,491,455,433,371,252,309,393,
其他非流动资产(万元),84136,85207,89741,97852,105071,100527,95342,101221,76771,68466,38907,51897,49164,62525,36676,32733,29697,33497,847,1343,3471,2761,--,--,--,--,--,--,--,--,--,--,--,--,1321,
非流动资产合计(万元),1031561,1039207,1054380,1052478,1022258,976439,894614,851865,760653,718977,517930,463154,369701,300584,212820,198491,180398,154684,59176,55767,52665,52364,46191,46372,46794,46619,43989,42757,40877,41612,33307,32392,31174,28382,29011,
资产总计(万元),1730085,1746856,1768745,1755213,1703197,1677381,1387712,1350794,1286277,1265262,1156833,1083054,768640,702414,644060,641831,446282,439723,360394,323459,312981,326131,322047,326938,316567,326934,310084,286033,276005,286272,268280,151909,119413,101424,93935,
短期借款(万元),54149,39655,72155,80569,85200,59859,90500,91719,78816,60191,34455,20463,11893,--,--,--,10000,16000,--,--,--,--,--,--,--,--,--,--,0,2500,7843,21944,6546,14390,3892,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,59570,--,52902,72591,72189,60095,46397,48776,104045,117734,80539,72949,60102,39312,35488,25389,24144,7122,142,4837,9650,13574,15299,10539,6564,3962,2709,3023,6543,8127,7681,5236,5452,9182,
应付账款(万元),--,101610,--,122682,113053,125116,129782,125244,93702,105230,86795,84528,72582,53797,62263,63500,59614,58277,58096,39817,25536,32918,34928,44447,42551,48896,47136,43098,36303,44535,46603,45777,28757,23389,15991,
预收账款(万元),6719,1463,1564,3395,2272,2813,3842,3001,3020,3444,6561,1908,2947,1319,1399,1094,794,3350,1343,3448,3574,5833,7138,20008,14251,18973,14247,16829,17655,11369,357,5524,3988,5589,6696,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),4730,9939,9849,6944,4310,9539,5586,4066,3711,9067,3691,3525,3212,6309,5256,4843,3684,6532,7739,7068,6336,8094,11125,8080,6112,9187,10132,6415,5519,7127,4292,3997,6260,6530,5253,
应交税费(万元),3411,7209,3202,4278,2438,7276,2072,2206,3725,8508,4160,4366,5649,2328,7017,3584,2562,7250,4431,3035,2261,6057,3889,-100,662,6035,2226,-562,450,5758,1853,-136,5495,3893,2635,
应付利息(万元),1046,631,1189,935,711,445,316,308,250,207,151,124,154,77,8,9,28,28,--,--,--,--,--,--,--,--,--,--,0,5,59,40,11,28,12,
应付股利(万元),166,100,162,220,334,334,--,--,--,--,--,--,--,--,--,--,--,--,--,7,--,--,4,255,--,--,--,--,--,--,--,--,--,1071,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,10819,--,12324,14432,14474,2934,3521,19781,2784,4244,3223,10933,10402,29117,28842,25305,20349,712,651,1205,689,5683,2899,692,769,8729,5829,1018,925,746,568,188,329,5688,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),21664,22110,21650,18600,17086,15525,11375,9900,5225,7826,1300,1300,1300,1300,1500,1300,1300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000,1000,500,500,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),222657,253106,302062,302849,312428,307570,306501,286361,257007,301301,259091,199976,181618,135632,145872,138660,128676,135930,79442,54169,43749,63242,76342,90888,74807,90424,86431,74319,63967,78762,69881,86396,57482,61171,49848,
长期借款(万元),202011,203450,181120,172258,136858,131060,136560,139210,127900,76399,79473,70075,63300,54225,4550,4875,5200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000,2000,2500,
应付债券(万元),249407,246326,243296,240169,237076,234015,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,47546,50325,62373,50163,54056,67159,68516,49929,54020,1033,1152,1269,1383,1500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),690,896,2780,2638,4130,4216,2678,3727,5819,5954,2078,1810,1837,2326,1704,1727,--,1648,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1681,--,1670,1692,1675,1696,1312,939,565,577,588,600,612,624,605,631,1000,1000,850,
非流动负债合计(万元),496637,498218,477522,477438,428227,423347,206397,211453,183648,136374,82584,73037,66405,57935,7754,6602,6881,1648,1670,1692,1675,1696,1312,939,565,577,588,600,612,624,605,631,2000,3000,3350,
负债合计(万元),719294,751324,779584,780286,740655,730917,512898,497814,440654,437675,341675,273013,248024,193567,153626,145262,135558,137578,81112,55860,45424,64938,77654,91827,75372,91001,87019,74919,64580,79387,70486,87027,59482,64171,53198,
实收资本(或股本)(万元),176542,176541,176541,176569,176569,176409,176409,176409,176409,174253,174253,49787,40660,40660,40660,40660,35517,35517,35517,35518,35518,35518,35529,35529,35529,35529,35529,34800,29000,29000,29000,21500,21500,4230,5045,
资本公积(万元),476019,476013,475890,475986,477373,476800,456139,456139,458508,450962,450962,575428,308926,308926,309925,309925,139023,139023,138859,138861,138861,138981,138327,138327,138327,138327,137904,134594,140394,140394,140394,18725,18725,1203,140,
减:库存股(万元),17441,17352,12361,7583,9702,9702,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),22574,22574,21895,21895,21895,21895,19648,19648,19648,19648,16813,16813,16813,16813,13676,13676,13676,13676,9887,9887,9887,9887,6374,6374,6374,6374,3466,3466,3466,3466,1814,1814,1814,6768,6768,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),285756,270258,259599,241611,216619,201947,208146,186885,178265,167323,158118,154718,143812,132673,116859,123534,114575,106624,94662,82939,82882,76525,63857,54593,60589,55321,45711,37718,38156,33770,26170,22169,16654,24271,27516,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-102,-64,-74,-96,-74,-74,0,1,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),1008282,993048,986540,973267,947661,932217,860358,839082,832676,811991,800030,796613,510078,498925,480951,487644,302641,294713,278823,267141,267075,260815,244013,234750,240819,235553,222610,210578,211016,206630,197379,64208,58693,36473,39470,
少数股东权益(万元),2509,2485,2621,1659,14882,14248,14456,13899,12946,15596,15128,13428,10538,9922,9483,8926,8084,7432,459,457,483,378,380,361,375,380,456,536,410,255,415,674,1237,780,1267,
所有者权益(或股东权益)合计(万元),1010791,995532,989161,974927,962542,946464,874814,852981,845622,827587,815158,810041,520616,508846,490433,496569,310725,302145,279282,267599,267558,261193,244394,235111,241194,235933,223065,211114,211426,206885,197794,64882,59930,37253,40737,
负债和所有者权益(或股东权益)总计(万元),1730085,1746856,1768745,1755213,1703197,1677381,1387712,1350794,1286277,1265262,1156833,1083054,768640,702414,644060,641831,446282,439723,360394,323459,312981,326131,322047,326938,316567,326934,310084,286033,276005,286272,268280,151909,119413,101424,93935,		
  
