报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),6706,8464,8919,8606,6965,6013,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,8,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),719,1097,660,704,734,554,
应收账款(万元),12233,11571,10393,10392,13015,13197,
预付款项(万元),2311,1445,2144,2870,896,1098,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),97,--,--,--,--,--,
其他应收款(万元),422,347,420,814,563,240,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),17600,17206,13244,11438,11886,10665,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),785,1093,762,1338,610,592,
流动资产合计(万元),40873,41223,36540,36162,34670,32366,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),3112,3700,3557,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,67849,64485,60333,53136,--,
累计折旧(万元),--,29766,27668,24163,20437,--,
固定资产净值(万元),--,38083,36817,36170,32699,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),37956,38083,36817,36170,32699,30038,
在建工程(万元),500,730,2314,441,850,786,
工程物资(万元),--,--,--,--,--,84,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),3947,4012,3642,2804,2862,2764,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),862,783,775,654,791,715,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),1005,1032,922,651,744,654,
其他非流动资产(万元),3314,1914,1543,1896,2626,3079,
非流动资产合计(万元),50695,50255,49570,42616,40572,38121,
资产总计(万元),91568,91479,86110,78778,75241,70486,
短期借款(万元),17450,17450,14950,19962,26765,26567,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),2969,4040,3877,2552,69,40,
应付账款(万元),11280,10567,9602,8042,10178,11969,
预收账款(万元),619,563,401,495,207,95,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),965,1139,1115,828,849,700,
应交税费(万元),362,646,714,244,333,326,
应付利息(万元),--,--,--,--,--,--,
应付股利(万元),--,--,8,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),148,74,124,175,181,159,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),4935,7910,3020,40,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),38728,42389,33811,32339,38581,39857,
长期借款(万元),5280,2285,7200,7920,2000,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,1106,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),3478,3478,3000,68,574,500,
递延所得税负债(万元),151,121,49,27,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),8909,5884,10249,8015,2574,1606,
负债合计(万元),47637,48273,44060,40355,41155,41463,
实收资本(或股本)(万元),6000,6000,6000,6000,5377,5377,
资本公积(万元),24143,24143,24143,24143,6689,6689,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),456,456,456,87,2277,1983,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),13568,12251,10884,8007,19568,15001,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),43748,43018,41714,38237,33911,29050,
少数股东权益(万元),183,187,336,187,176,-26,
所有者权益(或股东权益)合计(万元),43931,43206,42050,38424,34086,29024,
负债和所有者权益(或股东权益)总计(万元),91568,91479,86110,78778,75241,70486,		
  
