报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),323735,582011,387804,291477,210869,317270,386386,319580,277814,414273,204935,227850,302982,342209,318034,166862,218665,338724,376952,399491,350682,355479,228314,102320,183775,163701,127625,130331,197696,102650,159832,158110,184412,234563,269342,92348,80327,39099,28602,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,20011,21382,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
交易性金融资产(万元),21797,--,1748,2362,2362,2362,2674,2674,2441,3133,2461,3057,3057,36257,1001,1001,748,778,524,536,460,479,459,436,446,463,505,502,428,685,776,--,--,--,0,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收票据(万元),30910,31080,32967,61255,28264,88819,68935,14803,48793,26017,30263,22785,23156,34249,32516,36673,74107,42554,27042,16201,18876,54208,59323,21548,17147,11297,13121,25223,26622,29349,20194,24111,42517,11446,4233,13137,3563,3912,289,
应收账款(万元),158436,111941,143933,183125,129689,139965,137990,99101,88456,97165,82487,124513,80047,105219,98630,97232,130771,219365,215283,187872,128981,132202,130112,85994,92050,100169,111927,127632,115833,134573,98402,84339,87283,94933,66997,56671,76427,34265,41547,
预付款项(万元),57581,240869,158297,108464,175867,288003,189106,102680,114709,243903,188432,165076,188957,154082,156167,245570,165359,187597,161930,226697,229676,177945,194910,264438,183866,80315,63460,40903,60096,48376,31387,20419,28282,27113,15817,14022,6645,9355,3030,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,
