报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),23511,6399,6317,5641,9760,7583,5739,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),237,237,211,--,--,64,95,
应收账款(万元),17455,19879,14934,17689,13875,12573,10079,
预付款项(万元),522,327,136,186,126,181,100,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),1333,1362,793,677,470,1724,1218,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),4944,5455,6881,6880,8331,8305,7154,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,
流动资产合计(万元),48003,33660,29271,31073,32562,30430,24385,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),50,50,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,9324,9253,--,--,--,--,
累计折旧(万元),--,3661,3369,--,--,--,--,
固定资产净值(万元),--,5663,5884,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),5913,5663,5884,6149,6380,6547,6915,
在建工程(万元),171,317,64,--,--,177,8,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),4456,4474,4528,4580,4629,3803,3893,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),55,57,83,126,99,190,38,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),182,182,174,121,101,58,50,
其他非流动资产(万元),--,--,--,--,--,--,--,
非流动资产合计(万元),10827,10744,10734,10976,11208,10775,10904,
资产总计(万元),58831,44404,40005,42048,43770,41206,35289,
短期借款(万元),3300,1900,2900,2900,7500,16700,14100,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),280,180,392,1254,2160,865,751,
应付账款(万元),12949,16019,13648,15134,13893,9873,6894,
预收账款(万元),496,598,371,265,436,640,460,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),366,327,697,348,685,334,303,
应交税费(万元),303,1049,1006,1469,957,520,381,
应付利息(万元),--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,271,271,
