报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),14079,12835,21272,16815,23127,30454,13532,12120,7230,5763,4653,3968,3563,813,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,3,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),6056,5651,8665,5960,3706,2581,1009,2501,2495,899,593,850,923,266,
应收账款(万元),11644,15136,14003,13822,10928,9930,9802,8042,7261,5942,4369,3511,3148,2406,
预付款项(万元),4304,3610,2946,1983,2961,2517,3370,2620,3079,3603,2844,3603,2005,1334,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),54,44,50,88,85,90,94,98,86,78,148,23,39,42,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),8189,8218,8904,8376,7852,7366,7394,7600,7457,6986,6207,5025,4305,3840,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),33400,29800,22700,33214,25599,18399,70,95,40,47,237,93,--,1,
流动资产合计(万元),77726,75295,78540,80257,74257,71338,35271,33076,27648,23318,19051,17073,13983,8705,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
