报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),14543,15585,14489,7120,7002,3820,3632,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),651,247,113,183,242,159,106,
应收账款(万元),59363,49485,52600,52909,50719,42475,21252,
预付款项(万元),444,324,306,706,494,416,357,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),2113,1995,1438,1763,938,17444,15466,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),25447,21500,17413,15456,14025,14465,13362,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,51,205,282,--,--,--,
其他流动资产(万元),73,--,194,597,111,87,1251,
流动资产合计(万元),102634,89188,86757,79016,73530,78866,55426,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),27322,26816,25678,--,23914,24164,--,
累计折旧(万元),9992,9403,8296,--,5865,4290,--,
固定资产净值(万元),17330,17413,17381,--,18049,19874,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),17330,17413,17381,17428,18049,19874,20469,
在建工程(万元),9252,7673,4567,492,--,642,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),3967,3999,3854,3880,2537,2612,2625,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),24,30,43,50,69,95,121,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),460,475,630,630,661,435,513,
其他非流动资产(万元),1941,2068,2273,2525,3080,1569,1266,
非流动资产合计(万元),32974,31658,28749,25005,24396,25227,24994,
资产总计(万元),135608,120846,115506,104021,97926,104092,80420,
短期借款(万元),14574,13782,16979,15034,29347,28093,32554,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),1000,--,--,--,--,3500,--,
应付账款(万元),57260,48791,47015,40471,42192,39972,25504,
预收账款(万元),456,365,495,864,1749,1489,930,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),4212,3562,3982,3600,3630,2940,2108,
应交税费(万元),1561,1553,1193,1791,1521,2172,789,
应付利息(万元),18,27,83,63,186,57,90,
应付股利(万元),--,--,--,--,254,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),29,37,38,28,70,84,723,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),79110,68118,69785,61850,78948,78308,62699,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),697,1017,1498,1790,2611,3965,3986,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),1244,1277,1345,1378,1479,1239,1339,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),1941,2295,2842,3168,4090,5203,5325,
负债合计(万元),81050,70413,72627,65019,83038,83511,68024,
实收资本(或股本)(万元),10275,10275,10275,10275,8000,10200,8000,
资本公积(万元),16795,16795,16795,16795,2852,1,1,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),687,687,687,102,102,772,679,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),26800,22676,15121,11830,3934,9094,3518,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),54558,50433,42879,39002,14888,20067,12198,
少数股东权益(万元),--,--,--,--,--,514,198,
所有者权益(或股东权益)合计(万元),54558,50433,42879,39002,14888,20582,12396,
负债和所有者权益(或股东权益)总计(万元),135608,120846,115506,104021,97926,104092,80420,		
  
