报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),16521,25568,14760,17421,9333,22556,4418,13615,18293,22014,24424,26253,4202,2151,5925,3618,4300,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),10176,10907,8530,6260,6861,8677,7436,4788,3462,5881,3003,1515,5673,2679,3328,1477,2457,
应收账款(万元),38535,28732,43256,35242,23944,15669,26230,16393,12194,6325,16343,12687,6089,12039,6385,5830,4848,
预付款项(万元),777,1059,1045,1494,1531,486,763,266,1122,327,248,218,180,89,218,237,11,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),367,150,302,212,484,161,472,202,232,42,105,101,431,305,223,153,181,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),24409,25192,25193,26281,22957,21276,18402,20946,19646,17566,12726,11993,8341,6920,6713,7247,6245,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),217,328,57,217,45,735,--,--,1200,1682,--,--,--,--,--,--,--,
