报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),318260,345584,283946,280055,467635,122294,175067,115494,281261,145059,132340,118796,227129,114184,76459,73171,150788,155468,91732,94319,143804,59688,59478,47729,36700,34543,45264,50324,54980,49692,65383,56849,47959,48575,46676,55783,70412,16295,11752,12065,12454,10816,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),471710,153112,123828,133633,181944,127421,104076,81213,117566,55324,69648,151595,223513,61408,79062,152994,212885,57863,54330,87438,137511,63538,68771,43718,20578,4896,3896,2640,9798,9773,5362,2696,3990,2001,78,2296,3723,668,722,3057,3376,2343,
应收账款(万元),780381,1239108,1142208,938803,789775,1087619,959004,786395,659251,870385,731760,564394,447465,778611,606869,437386,382520,638407,510011,378728,300374,454478,389497,277665,49581,106671,80923,37913,46830,73096,53800,23217,31114,50639,43611,21615,22831,44905,36071,21449,12589,16107,
预付款项(万元),30404,26569,25389,29871,18475,32832,33733,39869,22105,23759,25009,36201,24004,28539,37374,21175,18732,19762,19208,18563,9667,11832,11567,17082,1776,9884,15437,13515,9561,11370,15499,17835,1519,7002,4355,4042,1044,1093,1047,1321,1802,4608,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),--,18559,10367,11746,10651,12876,9708,6456,6455,12939,10020,7139,3440,4866,5928,6226,2824,4333,4038,4210,2974,5199,4965,4470,932,700,1032,1933,879,802,402,502,313,303,223,383,143,362,194,171,364,160,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
存货(万元),35144,35822,37535,37855,27526,28982,32286,32069,24077,25473,27510,27155,27030,29261,30102,31830,28155,30848,33699,31396,25703,24305,27886,25927,11542,7929,8601,6560,4979,4765,6656,5372,2916,2551,4082,3468,2153,2041,2818,1339,695,513,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,306,534,824,1783,724,1007,599,856,462,915,763,1699,21,41,62,90,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他流动资产(万元),3932,3359,3554,2309,1546,782,1745,1542,1221,1478,2112,2658,2730,2485,3113,3923,3948,4034,4340,4334,4279,4233,4840,5422,5014,4181,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
流动资产合计(万元),1655134,1822419,1627360,1435097,1499335,1413531,1316625,1063637,1112792,1134878,999315,908701,957008,1019373,838948,726767,799941,910714,717357,618988,624313,623272,567005,422013,126124,168804,155152,112886,127028,149499,147102,106471,87810,111071,99024,87586,100306,65364,52605,39402,31281,34545,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,33,33,33,--,18,19,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期股权投资(万元),27924,27767,27950,27546,27628,28664,25657,24162,24208,17669,17762,12698,12699,3000,3000,--,--,--,--,--,--,1800,1800,1800,1800,--,--,--,--,--,--,--,--,--,0,--,0,0,0,30,30,285,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
投资性房地产(万元),2292,2317,2341,2483,2509,2415,2439,2464,2488,2512,1850,1867,1883,1900,1917,1933,1950,1967,1983,2000,2017,2033,2050,2098,2115,2132,2149,2166,2183,2199,2216,2233,2250,2265,2279,2330,2345,2289,2303,2332,2390,--,
固定资产原值(万元),449264,--,436832,--,433674,--,420352,--,416185,--,417557,--,406438,--,396492,--,390576,--,361695,--,355181,--,323706,--,193402,--,117388,--,111767,--,100571,--,75797,--,67530,--,55785,54198,51658,44346,--,--,
累计折旧(万元),218935,--,212529,--,198495,--,190840,--,179236,--,177495,--,158242,--,150525,--,135411,--,125254,--,109437,--,95124,--,39078,--,33825,--,29049,--,26123,--,22431,--,20005,--,17456,16684,16219,15086,--,--,
固定资产净值(万元),230330,--,224302,--,235179,--,229512,--,236949,--,240062,--,248196,--,245967,--,255165,--,236441,--,245744,--,228581,--,154324,--,83563,--,82718,--,74449,--,53366,--,47526,--,38329,37514,35439,29260,--,--,
固定资产减值准备(万元),216,--,70,--,90,--,90,--,90,--,90,--,9,--,9,--,9,--,9,--,9,--,49,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
固定资产(万元),230113,224471,224233,228331,235089,222174,229422,230380,236859,236047,239972,241438,248188,242340,245958,248728,255156,236483,236432,239095,245735,226299,228532,221143,154324,87829,83563,80183,82718,79756,74449,56536,53366,49129,47526,38388,38329,37514,35439,29260,17533,17312,
在建工程(万元),--,14897,10893,9185,9296,9632,4314,6033,3449,7340,8968,8108,4849,9717,9237,6561,4370,12097,6256,4290,2825,9067,8163,7629,7207,47968,31178,23492,18844,6766,1672,2640,3139,559,169,238,0,348,113,2,1454,--,
