报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),54266,63431,54805,40887,60138,59697,46130,40360,43001,42921,36559,30924,33445,27360,29101,29709,25701,18543,22221,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),553,191,182,134,--,--,--,--,3,--,--,--,--,--,--,--,699,34,488,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2890,7996,5601,6990,6633,6810,389,521,351,606,307,238,228,96,32,55,72,164,104,
应收账款(万元),41761,45685,44677,44216,36080,29847,20136,19743,16506,14398,13813,13978,12330,9770,12013,10074,6078,7859,8103,
预付款项(万元),5026,5407,9369,9571,7903,4759,2627,1488,1231,1176,2598,2442,2188,1544,988,1249,963,1021,1089,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),7,11,123,86,44,176,155,112,84,188,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3794,4337,3268,4067,2632,2678,1523,1740,1037,1081,1681,2015,2186,2162,1302,1036,978,888,1923,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),80639,67552,65648,49547,45446,38158,15077,15446,15104,14547,17136,17438,17945,17073,17968,18983,22733,16028,18676,
