报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),5308,7855,7872,10609,9792,12006,13035,18302,16241,15515,11427,16652,9705,10984,10670,15771,12442,19590,15352,20194,23105,23489,20806,27446,22600,25337,31303,37851,34016,37948,41225,45947,42782,46336,46964,8764,6894,7551,7157,6369,7476,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,0,
应收票据(万元),7482,6764,9136,11359,3971,3986,8425,10055,2265,3403,8085,9044,4571,5644,6146,6577,3789,3427,6392,7156,3270,4403,6483,6259,364,626,2588,2866,1179,1233,586,370,550,1576,2581,1555,1500,20,852,30,700,
应收账款(万元),18677,19142,16519,12203,18659,17642,17109,11504,17737,17485,17060,14998,21854,21990,21811,20391,19790,19844,17493,16106,13730,13484,14998,12132,16330,15096,11988,11906,14150,12158,11789,10003,11246,9976,7702,6077,6991,5324,2945,2641,2782,
预付款项(万元),9199,9046,8541,8253,10403,10019,9044,8352,8855,7754,7282,6877,7375,7110,6281,5634,4914,5066,5253,5554,4743,5087,6170,5710,4088,3452,3411,2835,3522,2626,3656,1896,1650,1708,1483,1129,852,2106,1482,725,358,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,0,
