报告日期,2017-09-30,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),8736,10284,12567,12049,8604,498,1445,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),12564,11275,20211,12635,17000,11366,3731,
应收账款(万元),38178,35581,23778,25033,18705,14130,12105,
预付款项(万元),881,642,571,440,488,383,301,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),111,57,471,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),645,543,380,304,245,20454,15817,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),18705,17524,15814,11432,11248,8182,6039,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),609,626,445,127,267,59,28,
流动资产合计(万元),80428,76531,74238,62019,56556,55072,39467,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),3500,3500,3500,3500,500,500,500,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),160,180,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),63,64,66,176,60,--,--,
固定资产原值(万元),--,19502,17885,--,14003,11662,--,
累计折旧(万元),--,10718,9740,--,8420,7255,--,
固定资产净值(万元),--,8784,8145,--,5583,4406,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),8467,8784,8145,4622,5583,4406,3238,
在建工程(万元),4458,4062,1442,2053,1915,9,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),1003,1009,1023,1043,941,965,388,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),284,330,375,68,213,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),694,627,513,376,384,296,247,
其他非流动资产(万元),1724,1342,1724,1521,1422,811,413,
非流动资产合计(万元),20353,19897,16788,13360,11019,6987,4786,
资产总计(万元),100780,96428,91025,75379,67574,62059,44253,
短期借款(万元),125,428,366,--,1691,2725,1000,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),2749,2566,2474,1096,2403,2291,828,
预收账款(万元),344,452,594,393,355,184,56,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),586,556,1268,355,836,733,515,
应交税费(万元),2169,2876,1859,3919,3422,1415,1034,
应付利息(万元),0,1,1,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),54,62,98,85,270,1496,4181,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),6027,6940,6659,5847,8977,8844,7613,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),822,822,822,796,596,571,432,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,200,400,400,400,400,
非流动负债合计(万元),822,822,1022,1196,996,971,832,
负债合计(万元),6849,7762,7681,7043,9973,9815,8445,
实收资本(或股本)(万元),36000,36000,36000,36000,35160,6134,5000,
资本公积(万元),30503,30503,30503,30106,25404,5509,5509,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),1593,1593,1593,--,--,4137,2732,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),23141,18041,12519,532,-5518,35318,22567,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),91237,86137,80615,66638,55045,51099,35808,
少数股东权益(万元),2694,2529,2729,1698,2556,1146,--,
所有者权益(或股东权益)合计(万元),93931,88666,83344,68336,57602,52244,35808,
负债和所有者权益(或股东权益)总计(万元),100780,96428,91025,75379,67574,62059,44253,		
  
