报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),259212,285112,259015,255546,221195,247430,156532,241001,300136,431249,294017,295495,293640,174599,--,173881,117523,69536,33852,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),892,1037,642,1441,868,1059,250,396,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),136104,115655,91662,72637,66273,69030,56824,46020,40342,38358,17578,5896,13116,8605,--,8811,2662,2851,4250,
预付款项(万元),30567,25711,26082,30344,19028,19412,18831,14948,7891,8049,4321,2909,2633,3581,--,5325,4525,3174,7233,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),30572,25461,41921,39997,26398,22052,27765,21163,10469,9433,13994,7108,10399,6686,--,6942,5376,4859,5145,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),17545,17159,18389,17082,15665,15886,9200,8366,8700,8205,5172,4263,4141,3949,--,3392,3165,1927,1537,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),53000,32160,11486,33138,9681,8440,176785,87980,70729,909,655,552,45670,426,--,348,670,220,123,
流动资产合计(万元),527892,502295,449197,450186,359108,383308,446186,419874,438268,496203,335738,316222,369599,197845,--,198699,133921,82567,52141,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),48042,48042,48042,48042,18042,37180,37180,37180,37180,37180,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),2060,1778,1209,2337,2096,1566,927,1951,1532,1221,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,436188,--,392835,--,348024,--,283815,--,259615,--,200601,--,191017,--,162528,157489,--,--,
累计折旧(万元),--,175956,--,156197,--,131694,--,114657,--,95045,--,75900,--,66396,--,59121,50955,--,--,
固定资产净值(万元),--,260232,--,236639,--,216330,--,169157,--,164570,--,124701,--,124621,--,103407,106534,--,--,
固定资产减值准备(万元),--,2111,--,2112,--,2118,--,2123,--,2122,--,2127,--,2127,--,146,214,--,--,
固定资产(万元),255018,258120,253658,234527,209867,214212,181569,167034,159906,162448,131359,122575,120442,122494,--,103261,106320,95963,76598,
在建工程(万元),17806,11345,21491,27975,21232,14518,18476,10822,9657,7666,8399,2501,3848,4274,--,7404,2559,2896,4113,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),85188,89711,74524,74841,76009,72955,72363,68269,68543,65888,3348,3530,3747,3944,--,2604,2653,660,162,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),963002,979852,981665,962096,862355,812919,603723,589263,571598,517158,2300,2300,2300,2300,--,--,--,--,--,
长期待摊费用(万元),365950,372465,344359,332086,297449,298543,234546,216381,202194,206248,136830,125824,124550,123659,--,98040,98227,76842,58024,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),17376,20802,22417,21267,23421,22857,21534,20994,19955,19908,1762,1630,2181,2140,--,1089,1565,844,135,
其他非流动资产(万元),31745,29801,95396,52625,96193,51125,75771,55043,57218,31939,9569,15057,4194,721,--,--,--,--,--,
非流动资产合计(万元),1786187,1811917,1842761,1755795,1606666,1525876,1246088,1166938,1127783,1049655,293567,273417,261262,259533,--,212398,211324,177205,139032,
资产总计(万元),2314078,2314212,2291958,2205981,1965774,1909184,1692274,1586812,1566051,1545857,629304,589639,630861,457378,428807,411097,345245,259772,191173,
短期借款(万元),250000,220000,190551,230400,140000,50000,50000,--,--,--,--,--,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),112242,84353,68921,87250,68954,66445,58503,71058,70669,61854,33186,32083,50284,23106,--,52520,28299,20573,11685,
预收账款(万元),98287,95319,96403,94295,99217,87920,76209,72114,81248,73462,50052,48591,52286,51423,--,45645,41562,36335,23426,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),23101,36902,10946,15726,14139,22830,11649,13465,14155,19263,5734,6147,4926,12579,--,3175,9150,5645,2557,
应交税费(万元),16054,21401,6388,13205,23721,26258,19753,22926,22038,19238,12864,13205,13857,8989,--,9173,7679,7481,7646,
应付利息(万元),664,613,833,484,248,968,1361,1111,278,1285,--,--,--,--,--,--,--,--,--,
应付股利(万元),250,400,400,400,--,--,--,210,--,--,--,159,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),180237,234867,289172,232373,131109,280222,117252,93291,72083,68203,52897,45925,50336,60020,--,37781,37290,29732,24670,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),195624,206932,11377,12039,9502,9154,7639,7454,5946,5673,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),4779,5192,4076,4051,4748,4025,3931,3821,3680,3540,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),881237,905978,679068,690223,491639,547822,346297,285450,270097,252518,154734,146109,171689,156118,--,148294,123980,99765,69984,
长期借款(万元),194541,208000,412757,352726,331491,281343,285865,279317,281934,337245,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),2159,1688,3053,3123,--,--,35,35,96,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),23610,25465,27317,28219,29371,28865,30776,30870,31351,30828,1170,1170,924,924,--,876,960,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),1445,1684,2489,3633,3845,3690,4679,7690,9407,9448,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),222230,237336,456598,397722,374323,322171,326266,322903,327567,381807,1170,1170,924,924,--,876,960,0,0,
负债合计(万元),1103467,1143315,1135666,1087945,865961,869993,672563,608353,597664,634325,155904,147279,172613,157041,--,149169,124940,99765,69984,
实收资本(或股本)(万元),117429,117429,117429,117429,117429,117429,117429,117429,117429,117429,112000,56000,56000,50000,--,50000,50000,50000,50000,
资本公积(万元),459088,459088,459088,459088,459088,459088,459088,459088,459088,459088,63280,119280,119280,1247,--,1247,1247,1247,1247,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),46836,46836,35947,35947,35947,35947,25800,25800,25800,25800,25582,25582,17797,17797,--,10810,10810,6379,4211,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),567979,513918,502494,464800,446951,399559,387685,353534,342890,296548,272007,241028,264578,230768,--,199419,157660,101838,65178,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),1206708,1167045,1151404,1114077,1099270,1038677,1019203,978013,967770,910952,472869,441890,457655,299812,287324,261476,219717,159464,120637,
少数股东权益(万元),3904,3853,4889,3959,543,514,508,446,617,580,532,470,592,524,--,451,588,542,552,
所有者权益(或股东权益)合计(万元),1210612,1170898,1156293,1118036,1099813,1039191,1019711,978460,968387,911533,473401,442360,458248,300337,287827,261927,220305,160007,121189,
负债和所有者权益(或股东权益)总计(万元),2314078,2314212,2291958,2205981,1965774,1909184,1692274,1586812,1566051,1545857,629304,589639,630861,457378,428807,411097,345245,259772,191173,		
  
