报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),146524,135973,50839,46876,28967,45327,56639,51637,71956,74099,18214,14482,11114,17275,13828,9169,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,515,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,8,--,--,45,
应收账款(万元),32144,33250,35179,29855,27199,28044,29050,23649,22451,23251,25013,21236,19213,14637,13236,11534,
预付款项(万元),3079,3378,4112,5414,2634,1991,2637,1769,1066,1160,1666,1169,880,726,783,1511,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),47,79,--,--,165,36,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),967,1014,1060,1121,1065,1050,1443,1487,1236,1032,1234,1148,1069,236,397,450,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),9351,9804,11028,8280,8406,8346,7355,6269,6258,6455,6791,5248,5549,5141,4668,5252,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),3137,3351,2336,1876,23689,9470,571,153,12,37,9,248,59,281,--,--,
流动资产合计(万元),195249,186850,104555,93422,92639,94264,97694,84964,102980,106034,52927,43532,37891,38297,32912,27961,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,156420,--,140479,--,134947,--,111328,--,106033,88466,85052,70496,62510,--,--,
累计折旧(万元),--,45994,--,41240,--,36592,--,32886,--,29152,25590,25029,22210,17259,--,--,
固定资产净值(万元),--,110426,--,99239,--,98355,--,78442,--,76881,62876,60023,48287,45251,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),128670,110426,100141,99239,97893,98355,80802,78442,77858,76881,62876,60023,48287,45251,43712,32714,
在建工程(万元),1151,15979,16625,12074,10092,8377,12512,10794,8815,7375,17555,13157,18595,3390,184,3803,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),23649,23741,22632,22523,16429,16532,16642,14422,14341,14425,10561,10625,10732,10934,5714,4906,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),5575,6088,6459,7254,7834,4210,3230,3175,3240,2976,2643,2821,2440,1240,1336,987,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3220,2920,2609,2129,1776,1290,897,697,688,680,634,629,761,448,422,377,
其他非流动资产(万元),7033,6640,16037,16498,17251,13564,19022,15968,10313,6110,4770,5411,4819,4921,1249,2726,
非流动资产合计(万元),169297,165794,164502,159716,151276,142327,133104,123498,115254,108447,99038,92665,85634,66185,52618,45514,
资产总计(万元),364546,352644,269057,253139,243915,236591,230798,208462,218234,214481,151965,136197,123525,104482,85530,73476,
短期借款(万元),--,--,--,9000,--,--,--,2000,--,5000,7000,7000,2000,--,3000,7110,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),23689,24362,26177,22216,19501,21055,25418,16431,14277,14808,16362,12876,12111,9091,8108,9251,
预收账款(万元),177,122,103,90,263,60,146,121,101,64,12,88,28,20,21,383,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),213,134,133,169,178,148,167,152,151,115,272,135,126,122,108,150,
应交税费(万元),7529,7400,8937,5841,5382,4838,5687,4205,4716,3804,4310,3175,3298,2981,2063,2413,
应付利息(万元),--,--,--,--,--,--,--,--,--,145,209,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),5238,3732,4379,3980,4430,3455,3990,3749,3082,3021,3147,2736,2151,1485,1294,998,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),2,2,2,2,2,2,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),36849,35752,39731,41297,29755,29559,35407,26658,22328,26958,31312,26011,19714,13699,14594,20305,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,389,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),1314,1314,1315,1315,1316,1316,716,716,716,606,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),1314,1314,1315,1315,1316,1316,716,716,716,606,0,0,0,389,0,0,
负债合计(万元),38163,37066,41046,42613,31071,30875,36123,27374,23044,27563,31312,26011,19714,14088,14594,20305,
实收资本(或股本)(万元),47063,47063,45013,45013,45013,45013,45013,45013,45013,45013,40511,40511,40511,15004,15004,15004,
资本公积(万元),122749,122749,52762,52762,52762,52762,52762,52762,52762,52762,749,749,749,749,749,749,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),20177,20177,14507,14507,14507,14507,10207,10207,10207,10207,7632,7632,7632,5374,3136,2128,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),136395,125589,115729,98245,100562,93434,86693,73106,87209,78937,71761,61294,54919,69267,52046,35290,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),326384,315578,228011,210526,212843,205716,194675,181087,195190,186918,120654,110186,103811,90394,70936,53171,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),326384,315578,228011,210526,212843,205716,194675,181087,195190,186918,120654,110186,103811,90394,70936,53171,
负债和所有者权益(或股东权益)总计(万元),364546,352644,269057,253139,243915,236591,230798,208462,218234,214481,151965,136197,123525,104482,85530,73476,		
  
