报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),10365,16731,25469,47310,59559,87293,105884,18811,20927,25909,32974,37316,41016,54088,53717,32970,14431,9127,18194,19934,24669,26707,36818,42308,28626,31088,26673,46609,66144,72311,28925,38731,44833,20569,41543,53335,38078,32295,17580,7509,9033,2095,1213,4173,13991,2306,11817,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,0,50,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收票据(万元),17549,15216,15335,10661,6479,4760,1742,5758,379,6065,4600,5511,5987,7295,1643,3227,2934,1770,1630,1634,210,1760,1250,1415,4475,3427,2889,2395,2101,1299,751,2941,1934,899,1349,1240,1192,343,61,210,47,194,269,225,59,101,270,
应收账款(万元),118545,98895,83260,92753,88076,76660,66067,45566,47581,25605,25377,36769,40865,44774,50066,42308,37441,46589,37818,51394,50958,62038,57725,41039,48240,71532,64597,53548,45814,29074,27410,33201,28555,34033,19475,21546,18419,12778,13891,14768,16646,16444,17399,15208,15848,13358,12607,
预付款项(万元),234,242,109,1248,821,1157,1440,2209,1867,2421,2097,3579,5736,7287,6250,4724,3870,5333,5770,14305,12786,13245,10931,14105,27915,32899,37147,39644,34181,31592,29740,37419,11370,4372,5218,5538,2509,3936,3079,3445,3760,1847,2590,4066,1700,1413,1492,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,787,787,645,645,645,645,410,410,410,410,--,0,--,0,--,0,--,--,--,--,--,0,--,0,--,50,
其他应收款(万元),2111,2144,1955,2892,3656,3435,2151,3380,3549,2805,2614,2944,3680,3805,4367,3069,4059,3889,3476,1342,1316,1509,975,554,1660,5525,1746,1870,1594,1823,1191,3302,2591,2516,2542,3289,3322,3110,3375,3111,5842,8574,4545,4837,6075,5253,5675,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
存货(万元),9046,9808,8809,14345,12422,11657,11538,16025,14102,16405,16523,18055,18550,32212,35488,33825,46121,45340,45678,49660,45951,36240,41862,54021,50163,64891,60069,41879,22520,28621,35674,16609,15721,12468,11883,15117,12418,17798,14343,16924,13603,13351,12586,11361,11304,15467,14343,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,6,0,--,0,
其他流动资产(万元),19542,23226,25168,26424,27191,29502,31135,34391,35370,38102,39983,--,--,--,--,571,553,--,315,--,--,--,0,--,0,14,--,--,--,--,--,5,0,--,0,--,0,--,--,--,--,--,0,5,0,--,0,
流动资产合计(万元),177392,166262,160106,195633,198204,214465,219957,126142,123773,117359,124168,104174,115834,149461,151530,120693,109408,112049,112882,138269,135890,142286,150349,154087,161725,210022,193767,186355,172764,165131,124101,132208,105004,74856,82009,100066,75937,70260,52329,45967,48929,42507,38602,39880,48976,37949,46255,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
可供出售金融资产(万元),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2204,2204,2235,2235,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
