报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2006-12-31,
货币资金(万元),13436819,11144543,11444934,11011011,13432108,9805519,10631376,9598810,11463722,8062064,8810606,8924939,9807719,10020167,8047103,6991136,7803981,7492325,7992830,8790941,8548712,6720339,6316064,6035686,7307276,6402065,5739123,4582053,4604343,4837180,4052418,3616890,3954510,3331177,2856190,2674045,3451559,2574800,2694012,2265500,2294732,3125761,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
交易性金融资产(万元),40419,187625,124166,351832,336616,56976,326830,289074,49739,20281,15548,13244,15170,21133,21594,24418,19722,21708,19563,23327,31196,12857,7835,8333,8545,3987,4501,8830,11047,16587,11708,12780,11484,13818,19324,13729,11574,7700,143126,--,66796,2347,
衍生金融资产(万元),--,55892,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,10800,--,--,0,--,
应收票据(万元),--,252541,--,356184,407133,277634,193862,231560,285375,178108,184231,224720,243625,226866,193652,219132,277209,137423,199112,235774,291950,244482,196063,167022,216742,126282,182675,172072,222463,140372,101643,105623,160060,85610,71518,70557,77344,0,176471,--,88988,114992,
应收账款(万元),--,7592082,--,7179997,6804473,9135696,8805835,8269428,8343691,8179341,7272268,7550631,6384578,7108821,6880027,5782476,5995372,6259312,6229439,5936363,5873689,6029351,5822808,5025181,5227304,5339285,5260809,5105650,5067416,5347001,5424862,4839265,4708782,5016430,4626411,3839883,3782545,4633300,3276992,5832900,2450483,1790386,
预付款项(万元),1427035,1196667,1650548,1509790,1318202,1837097,1975318,2154015,1791245,2332250,1912511,2225492,1940876,2189143,2051975,2284953,1631964,2078261,1815613,1279463,1348208,1437365,1517055,1394161,1339578,1462903,1350938,1447334,1305382,2117024,1495825,1684758,1358981,1619948,1461534,1516319,1190390,0,1335288,--,1102553,632652,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
应收利息(万元),--,4220,--,7778,4506,16432,2753,1239,1047,238,926,3519,109,4306,3386,10074,7896,6948,4234,5918,1672,409,3849,1505,3324,6875,2779,171,828,6367,497,484,484,252,252,179,247,0,1090,--,7,2012,
应收股利(万元),--,38790,--,10487,11473,10105,10327,8586,6656,7542,19411,8988,8025,16417,46869,10165,10516,15781,20514,2844,15219,20042,23034,4914,4950,4363,4521,3261,4611,4691,4682,4595,4143,18881,18881,3571,3571,0,1569,--,6412,1910,
其他应收款(万元),--,--,3853823,4007905,3999296,5104635,4472307,4881906,4078320,5540076,4891934,4878663,4436400,3806516,4209114,4474854,4203679,3445497,3258742,2852830,2997590,2679384,2800815,2623987,2489668,2582380,2310251,2165453,1869369,1122593,1438536,1374081,1313889,1417777,1240394,1437707,1021607,6565600,845679,--,522824,482474,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
存货(万元),4686168,4855682,4720013,14313824,13011327,16660274,15794933,14474196,13152703,14635321,13530909,13189924,12574267,13881888,13545801,12426092,11901585,13556992,12817602,10817261,9889069,10926184,10670986,9228375,8396997,9410379,8934340,8335926,7670120,8633151,8065843,7329670,6450900,7495373,7333806,6435877,6060580,1663600,5484096,939000,3405646,2493399,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
一年内到期的非流动资产(万元),6263949,5799955,5755389,4607336,4819666,3930340,4299386,3698541,4171087,3796435,4284072,3386631,3619208,2948508,3118720,2578231,2855801,2176337,2278895,2136714,2405210,1883207,1851243,1973793,1864767,1295383,1572759,1240472,1521762,1105867,1312945,885508,1067505,638449,884358,750250,820428,0,713607,--,299569,158135,
其他流动资产(万元),2023672,1012500,1130689,1023161,809740,202001,459459,442783,371082,359522,329010,179298,167247,296415,511453,399591,753216,860869,863126,906295,475057,774561,836723,592684,190671,413224,502026,34905,34894,27262,27785,28443,28147,46119,25135,28195,20605,0,26618,--,7102,5441,
流动资产合计(万元),48150227,47459549,47875329,44379304,44954541,47036711,46972384,44050137,43714667,43111178,41251425,40586049,39197223,40520179,38682543,35201123,35460940,36051453,35499670,32987730,31877572,30728182,30046473,27055641,27049822,27047124,25864722,23096128,22312235,23358096,21936744,19882099,19058886,19683835,18537803,16770312,16440449,15455800,14698549,12699100,10245113,8809509,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
可供出售金融资产(万元),--,--,--,--,2590811,2963665,2625964,2307166,2167933,2243157,2072155,1959017,2232183,2104679,2301959,2281797,2220511,1414950,1187836,1104791,1247119,1237442,1147473,1260844,1308131,998614,1085636,1148537,1114216,1080409,1358196,1451174,1378305,1408915,1351525,1671924,1637102,1240700,537863,--,1582368,668979,
持有至到期投资(万元),10910,16127,15511,9996,10387,23071,23549,23984,13087,43092,28575,27773,27982,58098,39451,32921,32797,32976,32978,--,--,--,--,20745,--,--,--,--,--,--,--,0,0,0,0,0,0,200,200,--,201,201,
长期应收款(万元),11480575,12860357,11967582,11075385,10960087,11081038,9728676,9788965,9436734,7435931,6916647,7678207,7669393,7950281,7658204,7661465,7462497,7269654,6710803,5721702,5368788,4486926,4203453,3854417,3809296,3334209,3029173,2991047,2834818,2851919,2328702,2412272,2159998,2001709,1706338,1593411,1402299,1406400,1040763,1032200,724806,337139,
长期股权投资(万元),4166439,3714153,3361102,3362624,3088932,2248335,2056829,2034448,1913434,1471116,1337738,1302496,1294604,1046052,1164278,1026944,1008617,1027810,1107704,1119514,959795,817125,782339,682863,660222,611760,611681,627731,630152,654966,609622,600323,586103,678290,572836,563327,524658,390500,571109,339000,494071,329006,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
投资性房地产(万元),422442,381844,383976,263073,262827,277734,280731,282474,287667,263481,252875,265668,259874,115793,117611,119175,120565,120435,122238,122186,124871,125495,126506,133144,150575,127723,128931,78543,78509,76040,77111,76766,75405,66916,68289,69599,68822,32300,69943,--,76037,81183,
固定资产原值(万元),9979542,--,9512733,--,9134052,--,11586321,--,11135931,--,10730737,--,10454962,--,10170343,--,9693347,--,9357077,--,9020731,--,8660151,--,8520710,--,7894774,--,7640271,--,--,0,6963239,0,0,0,6099509,0,4915791,--,3777104,--,
累计折旧(万元),5096834,--,4869280,--,4689492,--,5740616,--,5513672,--,5310872,--,5011884,--,4778276,--,4523530,--,4351319,--,4063513,--,3799313,--,3571894,--,3323852,--,3104387,--,--,0,2666995,0,0,0,2290121,0,1959960,--,1741499,--,
固定资产净值(万元),4882708,--,4643453,--,4444560,--,5845706,--,5622259,--,5419865,--,5443079,--,5392067,--,5169816,--,5005758,--,4957218,--,4860837,--,4948816,--,4570922,--,4535883,--,--,0,4296244,0,0,0,3809388,0,2955831,3164700,2035606,--,
固定资产减值准备(万元),2921,--,3001,--,3030,--,3532,--,4175,--,5399,--,5351,--,2458,--,2124,--,1309,--,1316,--,1443,--,1652,--,1713,--,2536,--,--,0,2543,0,0,0,2655,0,2561,--,3786,--,
固定资产(万元),4879787,4692360,4640452,4584766,4441530,5805162,5842174,5567783,5618084,5398023,5414465,5366703,5437727,5457292,5389610,5140606,5167692,4966389,5004449,4871717,4955902,4792148,4859394,4882889,4947164,4639219,4569210,4444391,4533347,4331456,4320522,4190713,4293701,4097921,4029193,3909163,3806733,4286900,2953270,3164700,2031820,1759278,
在建工程(万元),--,727520,686019,729844,784828,954653,855569,1051742,1016037,1460229,1488705,1370826,1319207,1255696,1138328,1166821,1138693,1002884,929740,625915,579938,731913,684721,795204,711142,951996,906406,1079015,962526,1063089,950633,1068823,988023,956989,949919,945545,991099,0,858524,--,711570,343544,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,78,--,1515,--,--,--,--,--,5,0,0,0,0,0,0,--,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,341,--,--,--,--,--,4230,--,--,--,1075,--,207,--,577,--,561,--,820,0,-1994,0,382,0,0,--,--,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
无形资产(万元),19198560,18019948,17547388,16677311,16259324,16675648,15990868,15367965,14830492,16603485,15930638,15345840,14504397,13158751,11914710,10586954,9796757,8399079,7604481,6607614,6226114,5196122,4785771,4457649,4299186,3707093,3492293,3199816,3061067,2839451,2584194,2427894,2272670,1932726,1842557,1760408,1643611,735800,1241015,500500,1085818,670274,
开发支出(万元),14546,2377,2303,1619,1624,1491,1345,981,998,326,314,313,300,300,295,326,415,313,283,289,291,407,413,486,476,869,558,1134,588,456,3089,3182,3268,43,1,2,0,0,733,--,0,--,
商誉(万元),516097,529309,519569,516482,542567,576898,576737,548151,520987,636604,622501,623426,601653,493720,595342,153712,153712,138791,138791,30762,30762,30762,30762,30762,30762,30705,30614,30614,30614,30108,30085,-1870,30085,518,518,518,518,0,465,--,25,31,
长期待摊费用(万元),73680,63493,55698,55493,48717,45199,43409,46069,43389,43556,36571,38231,34865,32730,28085,28621,26227,29207,31460,27013,23368,23796,19890,21021,21237,26551,25283,17098,15794,15731,17005,15163,12782,13342,12615,13044,12550,0,7067,--,4488,1731,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
递延所得税资产(万元),450415,445504,447504,405221,421433,322488,464419,463129,463739,463873,449309,415302,411691,342311,336655,351033,288148,318114,284695,299748,264789,265009,266554,256189,258815,232697,225356,264477,222226,238459,195425,180396,174680,161182,155804,134945,138950,208000,115032,220500,153151,172870,
其他非流动资产(万元),3266213,303778,302865,360338,310807,358380,332194,117391,119059,98067,92479,103554,113983,170010,184976,208998,161219,133132,193468,227767,139882,133259,471530,136796,151075,128652,152159,152069,160699,49967,162828,56956,72798,87402,129117,87220,127019,365100,82260,8800,193866,5567,
非流动资产合计(万元),47897382,44719950,42611721,40923353,40068987,41333763,38822465,37600248,36431641,36160942,34642972,34497356,33907858,32186055,30869504,28759373,27577849,24853735,23348927,20763250,19921620,17840404,17378807,16534161,16348082,14791811,14257299,14035049,13644557,13232611,12637413,12482617,12047819,11403959,10818712,10749490,10353361,8665900,7478243,--,7058220,4369804,
资产总计(万元),96047609,92179499,90487050,85302657,85023528,88370473,85794848,81650385,80146308,79272120,75894398,75083405,73105081,72706234,69552046,63960496,63038789,60905188,58848596,53750980,51799192,48568586,47425280,43589802,43397904,41838935,40122021,37131177,35956792,36590708,34574157,32364716,31106704,31087793,29356515,27519801,26793811,24121700,22176792,19486000,17303333,13179314,
短期借款(万元),4535804,6630076,6671196,6349908,6178678,8183043,7409101,6139749,6362962,6212021,6533994,6887800,6106070,7798296,7415855,6758774,6812475,8371934,8520591,7590732,6487630,6389714,6039301,5635530,5274530,6090845,6328232,4456905,4294055,3973489,3865874,2829770,2839279,2855227,2802717,2648744,2436020,4150000,3002595,3495500,1885138,1596808,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140738,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
交易性金融负债(万元),192,--,157,2251,1043,577,779,1854,1611,12569,13130,11764,13406,4769,1468,3612,4840,2866,4059,2727,1059,3316,3507,4089,2759,3380,3825,5349,5829,4436,7148,6330,7139,5667,5293,8403,7750,0,72517,--,15822,1887,
衍生金融负债(万元),--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,15100,--,--,0,--,
应付票据(万元),--,--,--,1938497,1718834,1571819,1396382,1437700,1444655,1249634,1267444,1361802,1315010,1171683,1193889,1391597,1416750,1232119,1023736,1022422,945445,785347,851252,867324,679785,600105,492540,489716,533342,555285,596528,494662,564903,474546,479108,477456,504648,0,605543,--,474788,258337,
应付账款(万元),--,--,--,16497889,19555153,18431480,17673243,15541755,17334775,15646654,14504413,12608319,14312877,13637597,13033119,11329146,12870637,11741800,11568542,9965496,11696560,10987691,10074161,8591087,9943295,9231280,9085342,8584532,9035656,9262183,8304562,7228470,7292608,7310237,6496562,4875830,5385663,1106000,4362649,7143200,3211172,2311074,
预收账款(万元),--,--,--,10239212,8846823,10337048,10381571,9378563,8371943,8342076,7925874,9631365,8244448,8596274,8609104,7927777,7030448,7048429,6960916,7008981,5813159,5762042,6113519,5744499,5258358,5816178,5415913,5412516,4729266,5981034,5459014,5382142,5268265,5604949,5363918,5246479,4703273,0,4122935,--,2310354,1831360,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,
应付职工薪酬(万元),194368,214385,190942,178074,181658,195731,184513,174697,192587,156368,144892,147623,163388,169658,166888,127557,138148,126990,129658,119335,128315,127255,123446,116043,118776,128623,122922,96306,107013,109537,110675,88135,95613,102013,109705,88223,123456,11400,181001,--,180148,144369,
应交税费(万元),776515,659028,660623,704060,774801,210869,577732,571032,631251,473927,473007,903689,1028783,1017516,985539,1031742,1141126,1058506,996079,918346,1010054,815597,779807,781081,892795,657954,632226,660729,729058,614737,577558,565553,550744,499215,484250,434098,431930,127700,258991,115300,343927,228335,
应付利息(万元),--,72097,--,115206,106910,105187,197419,182032,141982,88387,191111,177820,149801,89902,190729,183788,204704,134907,191162,150098,141353,94008,167267,121702,120699,75249,96192,64133,90086,48248,78767,70915,54940,26920,55250,41756,46061,0,17001,--,2,--,
