报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,
货币资金(万元),266573,258858,300816,255103,378904,350613,374137,477906,261296,291010,266986,261146,350038,308177,356051,304318,321892,335830,406244,428558,427744,474526,313177,319860,312706,387126,299174,333198,386442,282973,270030,340752,273364,357771,396457,472461,632607,228042,165367,229996,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),508949,517753,322229,483134,379356,446901,266861,250179,288786,255331,165111,139706,136125,124011,63937,74236,126842,132332,42306,36467,60502,110358,89886,66093,108835,103177,75118,69026,71386,124385,86351,106851,107954,100562,100832,88351,71394,63377,26946,71345,
应收账款(万元),970842,899035,1013813,980618,1000826,941881,1098974,1038057,1056390,1006221,1263443,1292784,1323765,1301942,1233315,1209449,1170316,1155228,1121864,1007115,958356,954025,1171068,1134504,1147345,1132945,1125353,1064545,998306,947830,813830,772313,750743,761484,632335,585502,603564,570963,590202,469552,
预付款项(万元),187920,139365,185942,131671,132299,103158,92898,92770,70405,63592,80061,75648,123526,127062,156229,172398,181306,183357,216474,231111,235861,187583,134406,143846,141243,126042,129016,147956,161399,133391,180983,175208,183902,141094,180663,150841,137727,133147,167616,161786,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,56,56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),--,50246,--,31334,21733,21214,24766,22042,20193,15400,15932,16032,16885,14640,16632,17709,17180,16445,8724,11363,8877,8811,8411,8687,10335,10332,12490,12806,11185,13633,8075,10547,8892,8290,5870,14262,11206,11293,7498,7667,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),370077,328593,483014,448370,422286,379896,413972,364045,330506,344014,575574,690261,677217,651286,745746,703073,690972,679535,764946,826953,838908,777770,804211,799012,806801,776537,805272,803060,798045,730727,778397,712853,620393,543676,607892,583208,547500,512395,584011,582390,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,20573,20658,20744,20829,15926,26802,26738,26448,25007,21997,21671,21353,6847,7001,7001,7001,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),140160,131070,23166,32977,11772,10050,2832,3401,6839,13823,47828,76354,45243,185249,183961,304919,313143,396193,74772,75772,355,2332,37017,119598,91938,85438,170000,--,15000,200000,--,--,--,--,--,0,0,0,0,0,
