报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),57412,28716,67844,35429,28126,24815,24376,16047,34677,24274,65610,95320,74376,77300,71145,73270,60145,68418,61316,68674,75558,67561,67200,64904,66407,65878,62435,59275,58838,16341,13442,12208,7636,3902,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),37889,286,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),142,150,36,25,50,30,38,--,23,23,59,49,40,81,--,--,--,--,10,10,--,--,--,--,--,0,0,26,40,55,--,--,--,0,
应收账款(万元),5343,5840,3009,3419,2625,2338,2185,2735,3108,3020,2696,3163,2997,2933,3880,3510,3190,4029,4415,3931,2887,3391,3021,2849,2313,2769,2841,2602,2613,2769,2119,1556,1312,1700,
预付款项(万元),8,1,35,36,22,19,46,92,259,101,30,38,85,36,362,154,482,146,21,--,--,--,23,1,8,--,3,2,--,--,--,--,--,509,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),492,360,--,212,207,341,267,248,165,1138,1,92,175,56,125,173,157,72,315,1040,809,460,217,1144,866,617,312,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,400,
其他应收款(万元),--,56242,46019,25415,27374,21144,12355,6897,2496,1271,861,1261,830,1066,4439,4692,2236,2365,562,475,643,288,446,443,255,328,527,426,295,173,212,188,109,1133,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
存货(万元),--,--,--,--,--,--,--,--,--,3,6,10,67,141,64,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,2,6,5,9,--,--,105,153,18,19,16,27,20,27,--,4,--,--,--,0,1,2,3,4,0,0,5,0,
其他流动资产(万元),37854,94397,56313,82727,87960,85027,100611,104715,79972,90726,20914,16440,25300,21734,20249,11452,19973,13912,18906,9258,3319,9259,273,415,400,450,343,295,229,300,254,174,75,69,
流动资产合计(万元),190464,186294,173257,147263,146366,133714,139880,130740,120705,120564,90178,116373,103975,103499,100281,93270,86199,88971,85565,83416,83216,80963,71180,69755,70249,70042,66462,62628,62017,19642,16026,14125,9137,7714,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,35979,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),--,91,91,9,9,9,9,509,509,509,920,969,920,500,500,100,--,--,--,--,--,--,7000,--,--,0,--,--,--,--,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
长期股权投资(万元),13523,13747,15059,15278,15159,15045,2927,2943,950,1016,308,313,327,360,359,421,396,378,344,21,25,25,30,30,30,30,--,--,--,--,--,--,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,
固定资产原值(万元),--,3067,--,3039,--,3038,--,3071,--,3041,--,3023,--,3107,--,2759,--,2688,--,2325,--,2287,--,2191,--,2082,--,1838,--,1657,1372,1188,894,664,
累计折旧(万元),--,2186,--,2096,--,2028,--,1969,--,1956,--,1817,--,1711,--,1567,--,1487,--,1315,--,1206,--,1055,--,891,--,785,--,649,541,436,264,164,
固定资产净值(万元),--,881,--,943,--,1010,--,1102,--,1085,--,1206,--,1396,--,1193,--,1202,--,1010,--,1081,--,1136,--,1191,--,1052,--,1007,832,752,631,500,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
固定资产(万元),--,881,935,943,976,1010,1057,1102,1039,1085,1147,1206,1316,1396,1197,1193,1187,1202,1193,1010,1016,1081,1120,1136,1194,1191,1044,1052,980,1007,832,752,631,500,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
无形资产(万元),375,390,406,422,438,456,468,487,502,522,333,349,366,383,402,403,248,253,250,219,175,184,193,162,101,106,106,113,68,42,28,30,35,31,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
商誉(万元),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,336,336,
长期待摊费用(万元),1180,1236,1319,1427,1524,1587,1660,1695,1447,1514,1511,1554,1726,1794,1600,1957,1711,1515,1357,1403,1455,1512,1018,808,344,318,186,207,227,245,156,13,10,35,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),995,953,283,385,727,616,272,238,670,650,84,96,612,513,118,133,91,78,65,63,52,53,53,36,30,34,34,30,30,31,29,23,115,108,
其他非流动资产(万元),3000,3000,--,--,--,--,--,--,--,--,--,--,--,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
