报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,
货币资金(万元),2257569,2327008,1989486,1947707,1920971,2135081,1909255,1825814,1569459,1635927,1440147,1479438,1352313,1606205,1375929,1483073,1341931,1557377,1745296,1940244,1769840,1886846,1720048,1723646,1713484,1762736,1542659,1472717,1441111,1470837,1460894,1297885,1305714,1375765,634227,663704,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),523,525,516,505,0,--,0,1251,705,55011,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),488018,478588,428492,376484,348483,274533,275952,301026,311431,426238,378766,322232,301552,294013,298991,294693,322092,337103,311521,245185,306438,239141,256379,235070,252869,246714,207744,132473,137964,138688,113925,90417,82569,68436,36360,41925,
应收账款(万元),1514679,1621903,1404508,1392483,1341517,1407386,1317356,1262004,1109480,1104211,967794,914848,814279,839781,772913,769097,638781,679153,599048,608305,478623,499164,590102,518319,416052,404907,407750,363909,271510,282333,263864,292474,273097,275538,246900,243217,
预付款项(万元),735240,638023,765196,761964,782200,661630,748638,708130,836575,771973,1118301,1157601,1239253,1336015,1493255,1479020,1691687,1709301,1450269,1335443,1360412,1216193,1101417,962626,644307,601935,394938,333846,394117,333359,406232,366431,387687,365861,558233,404650,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
