报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),1428,3642,2424,4076,3640,15425,17402,3476,5845,8459,2134,3738,7561,7097,6370,8905,11554,14054,15975,19043,24700,27263,27406,27691,29780,32266,30671,30823,33832,35832,1545,2619,2902,1142,502,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1321,4283,2587,3609,2548,2357,2330,1641,1581,1628,723,1032,1386,1147,2857,3002,2661,2415,2244,1699,1648,2670,2268,2171,2618,3245,2669,2606,1949,2366,1853,1393,1499,631,238,
应收账款(万元),20913,20915,22437,22888,24669,25046,35870,41597,38318,31116,29670,30042,30998,32289,32044,32981,34493,34971,33749,32253,28029,25017,22024,18468,15983,13401,12685,11110,10291,9131,8446,6964,5481,4035,3716,
预付款项(万元),975,1069,6437,5368,6901,6164,632,1690,1730,1113,2390,1063,488,499,1006,421,584,1165,1346,1029,3537,567,770,956,212,103,491,252,160,281,518,113,13,96,179,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,1899,2114,1809,1890,1982,1700,2214,2612,2076,3234,2082,2283,1336,2583,2171,1145,817,1774,1618,1148,1881,1988,1905,1697,571,934,838,679,558,865,402,231,276,451,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),7726,6521,8944,9138,8111,6946,8102,8270,7083,7491,6919,6913,5788,5719,7269,6790,6866,6219,5929,5327,4354,4475,4429,4935,4677,4511,4891,4717,3916,3658,3637,3620,3255,2626,3360,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1527,1999,814,866,643,744,788,612,615,816,958,838,961,910,933,904,613,680,1000,1877,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),35670,40327,45757,47753,48401,58663,66822,59499,57784,52697,46026,45708,49464,48998,53062,55173,57915,60323,62018,62845,63417,61874,58885,56125,54967,54098,52341,50347,50828,51825,16864,15110,13382,8806,8445,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,3887,3889,3889,3889,3889,2450,2450,2450,2450,2100,2100,100,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),8191,25263,25013,24702,24378,15337,1457,13667,13265,13155,12750,12519,12284,12122,11773,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),4932,4932,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,16428,--,16430,--,16589,--,16875,--,16859,--,16878,--,16918,--,16178,--,13002,--,12457,--,10691,--,7135,--,1454,--,1391,--,1023,--,908,680,529,334,
累计折旧(万元),--,5731,--,5206,--,4753,--,4460,--,3881,--,3283,--,2681,--,2099,--,1674,--,1303,--,1022,--,804,--,680,--,571,--,479,--,399,331,253,175,
固定资产净值(万元),--,10697,--,11224,--,11836,--,12415,--,12978,--,13595,--,14237,--,14079,--,11327,--,11154,--,9669,--,6330,--,774,--,821,--,545,--,508,349,276,160,
固定资产减值准备(万元),--,61,--,41,--,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,10636,10909,11183,11493,11795,12102,12415,12653,12978,13268,13595,13917,14237,13795,14079,11252,11327,11326,11154,9546,9669,9999,6330,740,774,804,821,759,545,538,508,349,276,160,
在建工程(万元),--,7477,7959,6131,5319,5228,197,183,136,136,--,--,--,--,4741,4741,6829,2076,2089,519,1671,1568,219,1673,6644,6260,5325,5048,3457,1819,399,219,186,106,99,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),3085,3107,3157,3219,3245,3323,3387,3452,3499,3563,3626,3690,3752,3818,3877,3941,4003,4063,4260,4166,460,465,439,410,415,419,422,419,446,403,406,405,408,412,414,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,736,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,24,59,94,130,168,207,245,283,318,358,223,222,236,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2799,2944,1499,1530,1733,1726,2098,2122,2064,1981,1934,1764,1748,1661,617,575,570,485,417,366,309,277,233,199,154,154,150,134,104,104,94,79,68,57,49,
其他非流动资产(万元),27,27,24,22,32,27,4874,4308,4328,4328,4268,4308,4308,4308,316,329,1193,1704,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),41520,59008,53187,51413,50825,42061,27301,39333,39156,39388,38777,38843,37014,37188,36099,24685,24902,20749,19051,17164,12222,11979,10890,8613,7952,7607,6701,6422,4767,2870,1437,1211,1010,852,722,
资产总计(万元),77191,99335,98944,99166,99226,100725,94123,98831,96940,92085,84804,84550,86478,86186,89162,79858,82818,81072,81069,80010,75639,73853,69775,64738,62920,61705,59042,56768,55594,54696,18301,16322,14391,9658,9167,
短期借款(万元),--,--,--,--,--,--,795,3200,3200,5200,16800,14500,14700,12700,10163,3963,3000,--,--,100,--,--,--,--,--,--,--,--,--,--,--,--,300,200,400,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,1702,--,1374,1839,843,1109,675,534,603,687,719,922,934,1321,2007,1925,963,644,395,40,--,14,24,--,--,--,--,--,--,2784,--,--,--,237,
应付账款(万元),--,11295,--,7856,7536,7664,11454,13488,11586,5986,3197,3728,4006,3767,5285,4424,5793,7012,7174,7427,5867,4911,4064,4573,3626,3468,3377,3105,2484,2645,738,2791,2647,1806,2186,
预收账款(万元),1940,1457,1427,908,1341,915,1052,1183,821,560,1111,631,179,382,243,214,285,340,454,344,307,371,264,250,312,739,698,736,925,1193,--,605,763,860,1381,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
