报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),37180,34833,58288,96043,55830,71360,74004,100219,101467,16440,8485,13186,25067,13548,19192,21982,20381,25859,25033,25570,21680,22381,25945,33157,6363,7192,5120,4869,7997,9515,8509,12550,9327,9818,12027,14678,16025,17651,18587,5786,6339,7234,2435,5323,5830,8078,11099,2933,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,47,48,606,2,0,2,2,3,4,0,0,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收票据(万元),--,--,--,--,1053,915,2591,2409,903,841,1617,2139,1863,2193,3219,3424,1926,2188,2153,3835,1607,1154,3179,3426,2193,2873,2261,2940,1646,847,393,1152,1944,1302,2030,2937,1181,1168,895,1401,874,712,1195,1596,1229,527,702,604,
应收账款(万元),18046,8592,4124,3659,8711,7386,6239,6131,10942,9879,4810,4942,6604,6819,7138,6695,7577,7113,7417,4802,5026,4660,3860,4029,5161,5142,6238,11006,17501,22719,19882,16935,20554,17516,18079,17399,15903,14167,14026,12292,15284,14309,13001,9965,9499,6919,6226,5556,
预付款项(万元),6361,6218,4465,2660,5609,7457,5955,1646,2858,2673,2202,2104,2627,2703,2512,1417,2363,1948,3079,1979,3913,3661,3431,6018,1640,1382,1334,2796,2631,4032,3566,3775,3678,3796,3065,2458,6046,4903,5278,5847,7341,7673,6319,5509,5850,4480,937,918,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,0,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1021,1099,1021,1021,1021,1021,--,--,--,110,--,--,0,--,0,--,0,--,--,--,0,0,0,--,0,--,0,
其他应收款(万元),11258,5213,4777,4100,5116,2563,809,617,927,437,317,176,1170,1071,1148,909,1560,1625,4862,1490,1006,1106,1072,799,1590,1456,994,1226,1822,5251,1001,960,1458,1743,791,1554,820,1121,1340,1388,1608,1723,1298,1560,1123,845,1069,1034,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
存货(万元),126,107,110,96,10323,10737,10628,9494,9536,8910,7000,7435,10558,12532,14009,14152,18743,19806,18594,18974,18560,17093,15975,11633,10395,9441,9444,9158,9186,9865,11134,12348,11294,10196,10220,9851,11657,13048,12970,13244,14218,11808,9442,7232,7149,7654,7678,7395,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,3,33,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,0,--,0,
其他流动资产(万元),6443,1624,1068,19273,2363,16977,23357,8341,586,730,828,851,454,539,521,545,--,--,--,609,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,0,19,0,
流动资产合计(万元),79415,56587,72831,125830,89005,117394,123583,128857,127218,39911,25259,30833,48344,39405,47738,49124,52549,58539,61138,57259,51792,51076,54561,60084,28363,28507,26412,31994,40783,52230,44595,47720,48297,44417,46260,49482,51633,52059,53098,39960,45667,43463,33690,31185,30683,28536,27730,18442,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
可供出售金融资产(万元),4020,4020,4020,5184,18969,22137,20255,21553,5720,5720,8841,9549,10092,22775,18993,16822,16856,--,--,--,6886,8038,11572,14106,14390,5657,5710,6450,7524,8345,10597,10597,--,0,--,0,--,0,0,0,0,0,0,0,--,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,0,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,0,--,0,
长期股权投资(万元),62357,101094,97381,64109,53476,12622,11858,10533,10090,10179,10200,10298,8361,8408,8493,8514,8592,21139,21314,26343,26364,26400,26477,28004,28164,30400,26324,26371,21352,17092,20148,13592,14441,5177,2089,2089,980,0,--,--,--,0,490,2700,2700,3118,3156,908,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
投资性房地产(万元),5297,5335,5374,4947,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,9774,9849,9923,6451,6491,6538,10212,
固定资产原值(万元),--,6194,--,6162,--,62295,--,69618,--,74123,--,72439,--,75476,--,74511,--,73538,--,73473,--,67271,--,56782,--,56065,--,56750,--,54593,--,59953,--,52594,--,53114,--,43088,--,43803,--,43074,--,37835,--,28609,--,30503,
累计折旧(万元),--,1993,--,1847,--,22289,--,23924,--,27649,--,25647,--,25793,--,23894,--,22149,--,20324,--,18495,--,14881,--,13380,--,12224,--,10755,--,12662,--,11138,--,9718,--,8264,--,7062,--,6726,--,5364,--,10091,--,9861,
固定资产净值(万元),--,4201,--,4315,--,40006,--,45694,--,46474,--,46792,--,49683,--,50617,--,51389,--,53149,--,48776,--,41901,--,42685,--,44526,--,43838,--,47291,--,41456,--,43396,--,34823,--,36741,--,36348,--,32471,--,18518,--,20641,
固定资产减值准备(万元),--,--,--,--,--,--,--,658,--,1978,--,1978,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,25,--,25,--,25,--,25,--,25,--,25,--,25,--,25,--,25,--,53,--,53,
固定资产(万元),4657,4201,4341,4315,40522,40006,44148,45037,43907,44496,44008,44813,48672,49683,49787,50617,50563,51389,51953,53149,48031,48776,49024,41901,42147,42685,43735,44501,43813,43813,44468,47266,45696,41431,42175,43372,42195,34798,39930,36717,37568,36323,37632,32446,17802,18465,20763,20588,
在建工程(万元),--,--,--,--,--,--,--,--,3186,2904,2727,2021,2160,1184,1029,1111,1428,1023,1530,1628,5380,4860,4465,4139,3820,3393,2934,2371,3268,1514,1247,1497,3444,8236,7190,6308,6714,13774,6873,8337,5169,5126,2575,3543,15012,15184,13705,10834,
