报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),23507,19960,18588,16993,18574,17160,18099,18118,25293,21758,24765,24013,24093,20534,25308,32440,11894,14491,10661,12734,9782,5193,1371,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,272,503,503,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),19176,12322,18828,22635,17802,14039,14978,13483,15375,18580,17316,15796,18033,16121,26523,21914,15118,16628,16904,12951,11894,1270,785,
应收账款(万元),58184,54431,46500,54426,50518,48992,42716,47496,42671,29022,28722,34688,36474,35108,31705,33346,31050,29667,24153,14223,13207,8217,5133,
预付款项(万元),6299,2967,3354,3748,4256,5548,2519,2825,5400,1855,2772,1978,3142,5217,2484,1685,5209,1490,4319,1306,4184,4613,2523,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,16,17,32,12,26,15,20,--,43,54,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),5017,5084,5720,4766,5753,4326,4742,4245,4529,1883,1248,1155,1005,664,1481,1088,721,540,564,210,135,126,64,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),19133,25117,24415,18333,18543,24434,25521,17227,17074,16677,13608,12818,12413,18280,17832,14400,15119,11369,11543,9251,10367,6638,4824,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),195,486,1320,108,3519,4040,4456,3335,4299,1015,618,564,5298,5803,920,451,1200,--,--,--,--,--,--,
流动资产合计(万元),132037,121163,119760,121938,119480,119012,113514,107191,114866,91004,89544,91095,100801,102081,106753,105826,80311,74186,68144,50675,49570,26057,14701,
发放贷款及垫款(万元),526,526,526,426,500,455,450,450,200,200,475,83,300,300,500,500,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),608,662,492,435,418,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,50973,--,48964,--,50877,--,34389,--,30961,--,30879,--,28464,--,28356,--,27932,17727,16649,14234,--,--,
累计折旧(万元),--,16269,--,14608,--,14138,--,12932,--,11794,--,10599,--,9422,--,8280,--,7137,6076,4599,3421,--,--,
固定资产净值(万元),--,34704,--,34357,--,36739,--,21456,--,19167,--,20280,--,19042,--,20076,--,20796,11651,12050,10813,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),33882,34704,33526,34357,35867,36739,21158,21456,21922,19167,19691,20280,19141,19042,19559,20076,20524,20796,11651,12050,10813,8357,2290,
在建工程(万元),2009,1627,3104,2801,976,759,15428,14667,12743,11098,9971,9214,9231,8784,8322,7627,6645,5373,9066,4003,2136,1424,2512,
工程物资(万元),--,3,3,3,3,3,8,6,12,10,72,76,3,6,30,69,74,171,354,349,71,--,--,
固定资产清理(万元),--,--,-1,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,--,10,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),8863,9023,9168,8907,9042,9177,9312,9447,9589,5455,5494,5534,5575,5387,5421,5454,5374,5405,5469,5540,5615,3064,2006,
开发支出(万元),733,526,309,636,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,--,
商誉(万元),11431,11731,11731,11731,12458,12413,12413,12413,12250,6,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,63,--,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1604,1468,1388,1407,1340,1199,1184,1166,1188,1015,973,1027,685,561,540,596,449,431,443,263,146,75,71,
其他非流动资产(万元),594,438,564,674,1126,731,1324,1439,1363,2024,2254,1157,1767,1832,1120,1001,1133,1321,--,--,--,--,--,
非流动资产合计(万元),59725,60183,60347,60951,61245,61020,60826,60596,59066,38775,38455,37288,36403,35612,34991,34824,34199,33496,26982,22214,18781,12941,6879,
资产总计(万元),191762,181346,180106,182889,180725,180033,174340,167787,173933,129778,127999,128382,137204,137693,141745,140649,114510,107682,95127,72888,68351,38998,21580,
短期借款(万元),62500,61500,62500,61500,61500,62000,61068,52752,55510,60352,60792,56711,63282,60505,58764,51852,52119,51304,49000,34000,34000,16000,4000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,1000,1000,--,--,--,1000,7000,6000,--,--,1590,2500,2093,--,
应付账款(万元),--,8929,7215,9949,9016,9539,6098,6991,10975,1844,1432,1790,1506,1639,1954,2631,2382,3285,3590,2463,2742,2365,863,
预收账款(万元),4674,2761,2809,2082,2645,2347,1644,1232,2295,2263,1536,902,1504,1015,2090,821,1780,968,1650,1846,2744,434,843,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),260,270,285,336,244,120,168,362,112,16,147,229,14,81,236,238,8,73,155,4,0,1,1,
应交税费(万元),1918,1284,1567,1769,928,592,814,1436,710,368,283,417,374,634,161,259,139,505,-561,-13,-111,160,104,
应付利息(万元),--,188,159,261,231,125,105,289,244,--,80,108,--,--,311,238,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),7732,7512,6775,8332,7651,7306,7697,8173,8565,1781,897,1529,1257,961,1493,1573,1005,1243,1294,1372,1725,826,1114,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,5000,--,--,--,--,--,--,--,--,--,2000,7980,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),92708,82445,81310,84229,82215,82029,77595,71236,78411,67624,66167,66686,67937,64834,66011,64612,63433,57377,55128,41261,43600,23880,14905,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,5000,8000,10000,10000,10000,10000,3000,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),3163,3215,3267,3318,3376,3427,3380,3393,3410,3360,3376,3384,3646,3499,3557,3565,--,--,--,--,--,--,--,
递延所得税负债(万元),345,358,371,384,397,411,423,437,450,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3473,3481,3446,3446,3144,--,--,
非流动负债合计(万元),3508,3573,3638,3703,3773,3838,3803,3829,3860,3360,3376,3384,8646,11499,13557,13565,13473,13481,6446,3446,3144,--,--,
负债合计(万元),96216,86018,84948,87932,85988,85867,81398,75065,82271,70984,69543,70070,76583,76333,79568,78177,76906,70858,61575,44707,46744,23880,14905,
实收资本(或股本)(万元),15200,15240,11723,11723,11723,11723,7815,7815,7815,6800,6800,6800,6800,6800,6800,6800,5100,5100,5100,5100,5100,5100,4700,
资本公积(万元),52648,52930,55275,55275,55275,55275,59183,59183,59183,27525,27525,27525,27525,27525,27525,27525,4266,4266,4266,4266,4266,4266,1466,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),534,514,516,515,570,540,548,540,515,429,413,407,399,380,353,337,313,281,219,115,58,--,--,
盈余公积(万元),3158,3158,3158,3158,2732,2732,2732,2732,2721,2721,2721,2721,2721,2721,2721,2721,2396,2396,2396,1878,1235,582,56,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),23810,23287,24447,24228,24152,23803,22584,22372,21344,21236,20948,20810,23127,23884,24727,25039,25478,24730,21544,16793,10948,5170,454,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
