报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),18609,27628,16963,20061,13955,12288,21184,22865,25642,60235,12318,10630,12871,16619,13344,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,92,339,--,562,232,151,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),482,650,180,685,445,69,260,32,40,570,10,160,27,--,--,
应收账款(万元),23363,22260,17521,15985,13028,10863,9124,11979,10344,10233,13553,14065,12776,9642,10348,
预付款项(万元),2456,1262,4719,3688,7080,2288,2086,4877,2929,934,1560,1737,2292,1855,2659,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),423,84,--,--,--,65,--,--,--,--,--,--,--,1,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),534,361,447,507,471,429,598,612,553,267,210,618,183,25,149,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),32385,31037,33692,29238,24286,22804,21552,17377,18379,17342,22360,28039,19215,19893,18441,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),36262,22084,32833,32072,34741,37220,24281,24428,1,166,125,1610,1689,988,647,
流动资产合计(万元),114513,105365,106355,102237,94005,86025,79084,82170,57888,89839,50476,56858,49615,49255,45739,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,636,26120,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,45021,--,43084,--,43624,--,43012,--,39789,39728,38390,31344,29351,27247,
累计折旧(万元),--,19470,--,18521,--,17340,--,15507,--,14190,12859,12172,9510,6752,4605,
固定资产净值(万元),--,25551,--,24563,--,26284,--,27505,--,25599,26868,26218,21834,22599,22642,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),27728,25551,28649,24563,25369,26284,26743,27505,24616,25599,26868,26218,21834,22599,22642,
在建工程(万元),2213,3078,827,3876,3039,2987,1705,1301,3694,2994,2819,4313,773,3,633,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5208,5247,5294,5313,5360,5364,5331,5379,5422,5396,5486,5527,5686,4583,962,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),956,955,788,814,834,921,841,835,818,816,841,759,231,234,295,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1168,1162,1082,1058,1015,989,938,760,707,706,650,391,260,189,221,
其他非流动资产(万元),923,1300,725,930,728,663,188,259,909,526,33,225,901,145,--,
非流动资产合计(万元),38195,37292,37364,36554,36345,37208,35746,36675,62287,36037,36697,37432,29685,27753,24753,
资产总计(万元),152708,142657,143719,138791,130350,123233,114830,118844,120174,125876,87173,94291,79300,77008,70493,
短期借款(万元),25526,18727,20700,18100,13100,9300,3000,5665,7000,11000,16855,7754,5000,8635,8855,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,82,236,46,--,--,49,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),10309,9029,11015,11739,8066,7076,5881,7986,5941,3381,7984,13165,10225,9994,12146,
应付账款(万元),19707,17537,15021,13112,14323,12927,10008,8488,8662,9530,9946,17529,10260,11617,15303,
预收账款(万元),1427,1258,1447,1660,882,528,744,865,810,528,1576,1928,2464,1653,1960,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
