报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),15651,15399,21478,15558,16976,16908,14200,12558,12946,6616,10967,5456,6137,18855,35987,6602,9005,7973,5755,3143,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,28400,27700,14500,--,--,--,--,--,--,
应收票据(万元),5565,5423,7333,4479,3354,4692,5877,5812,4242,5631,6709,5308,4436,4149,4516,7661,6583,6034,3882,5671,
应收账款(万元),12459,11970,13929,14442,14301,14993,14588,15650,15211,15757,14503,15677,15146,15447,13621,14559,12692,12776,9432,11024,
预付款项(万元),2223,3749,1733,1636,298,2111,403,1291,1095,899,433,1037,1304,668,542,536,337,320,462,328,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),621,698,419,496,331,374,251,364,314,349,269,426,298,319,340,404,329,366,278,350,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),17024,16132,14325,13965,12382,12070,12518,11583,10686,10326,11139,12163,12708,12240,11632,11369,10650,11825,12687,12777,
