报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),237428,286294,282318,296623,221598,262487,266192,296870,399727,196002,99650,113614,100845,113165,176999,79698,80691,81757,81050,101257,80760,69143,61015,40032,62392,89412,88323,35191,16683,9409,9226,
结算备付金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),643,318,0,0,0,--,0,--,0,--,--,--,82,57,--,0,--,--,--,--,--,--,84,20,43,37,15,--,--,30,30,
衍生金融资产(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),7704,13937,14590,40775,23020,11334,11668,9094,11894,45877,5189,2284,1798,2164,1058,1590,965,2326,470,984,1062,2345,8429,2196,3247,915,1100,1093,895,--,--,
应收账款(万元),194375,189927,218783,188927,179294,161334,171991,161925,136980,134900,167854,155715,133068,125525,92993,85079,74249,72295,57296,48706,34301,31988,42525,30424,24217,20100,32001,18971,14104,11276,2282,
预付款项(万元),21362,5918,9057,13393,5947,6709,13954,10902,15838,2251,3242,3723,4820,3481,3356,4320,2814,5618,2694,2061,1907,859,11761,28447,59891,7056,3826,5381,1401,2103,4103,
应收保费(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,0,0,0,--,0,--,0,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
