报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),18323,18046,20526,19894,16714,13423,11535,29506,11948,11902,37511,38155,54817,56003,19727,18340,20414,18484,19011,17442,16997,22013,1536,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),528,--,292,193,119,281,305,192,262,74,492,140,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),4368,6919,5605,3341,3911,6276,4442,3816,3168,2937,1618,2019,1303,2609,2067,1533,3824,1357,2724,1160,304,227,138,
应收账款(万元),20080,17606,16825,17483,14301,13660,14370,14932,14669,14588,12904,13043,12273,11510,11477,12062,8915,11258,9725,8396,7051,5079,5218,
预付款项(万元),1682,1872,1645,1467,2405,1249,1741,1407,952,810,1063,664,1001,792,3578,2252,2423,2925,2707,2515,3210,1432,1766,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),20,132,--,--,--,--,--,--,--,1,160,349,277,326,104,201,458,236,141,203,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),11,3,292,309,290,15,32,11,24,27,16,11,9,5,12,38,20,30,15,13,31,117,7278,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),12774,11522,13080,13469,12471,11928,11567,11550,12150,11928,13518,13429,14140,13053,13312,13646,11041,10856,10365,10633,9821,6327,8083,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),1000,1000,--,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),22724,23925,22834,20855,25895,30232,29375,11272,29309,28455,3365,3463,440,446,153,153,--,--,--,--,--,--,--,
流动资产合计(万元),81510,81025,81098,78011,77106,78064,73366,72686,72482,70723,70649,71272,84260,84743,50432,48224,47095,45146,44688,40362,37413,35194,24018,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),500,500,1000,1000,1000,1000,2000,2001,1000,1000,936,936,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),4445,4445,1209,1166,1156,1156,1048,1018,967,967,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,62863,--,59623,--,59350,--,57171,--,54398,--,49096,--,48917,--,46574,38968,--,35840,--,--,--,--,
累计折旧(万元),--,28866,--,26982,--,24959,--,22909,--,20765,--,19104,--,17649,--,16033,14429,--,12962,--,--,--,--,
固定资产净值(万元),--,33997,--,32641,--,34391,--,34262,--,33633,--,29992,--,31268,--,30542,24539,--,22877,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),33507,33997,34298,32641,33420,34391,34218,34262,34535,33633,30225,29992,30743,31268,30732,30542,24539,23558,22877,22548,18448,14519,12815,
在建工程(万元),15630,13005,10477,11221,11806,8683,9249,9066,3951,4713,8378,7933,6348,4930,3749,4896,8478,8806,9290,9026,8372,2487,1467,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2799,2826,2292,2305,2318,2332,2345,2358,2371,2384,2386,2385,2398,2426,2451,2458,2484,2214,2227,1899,1938,787,492,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),771,635,786,667,620,436,422,328,247,251,597,535,481,441,532,626,425,374,354,371,295,233,286,
其他非流动资产(万元),1020,1533,2161,2645,1202,1295,1161,1290,5949,6182,5284,5892,1164,1642,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),58672,56940,52224,51645,51522,49292,50442,50323,49020,49131,47807,47673,41136,40706,37464,38521,35926,34952,34748,33844,29052,18025,15060,
资产总计(万元),140182,137965,133321,129656,128628,127356,123809,123009,121502,119854,118455,118945,125396,125449,87895,86745,83020,80098,79436,74206,66466,53220,39079,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1800,4500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,217,--,--,
应付账款(万元),4915,4623,3938,3852,3575,3710,3441,4062,3720,3341,2928,2788,2892,4863,3597,3328,3450,3232,3245,2919,4049,1567,1250,
预收账款(万元),282,259,246,209,237,274,155,199,389,124,182,188,130,155,168,227,329,199,420,290,228,784,247,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),669,755,657,647,635,726,606,599,548,617,547,536,514,540,453,495,484,494,462,456,444,356,176,
应交税费(万元),630,1193,750,512,620,534,508,543,242,394,567,896,494,342,647,847,377,409,707,190,392,557,-198,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,492,492,--,--,--,1316,--,--,--,2460,--,--,--,--,--,--,--,--,--,233,2000,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),671,586,579,967,999,997,972,16,13,13,17,13,18,25,14,70,11,12,94,106,192,582,872,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,300,300,300,300,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
