报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),30810,36960,37692,31692,40101,36374,35356,5632,12652,30922,29160,39005,3893,3844,5444,5921,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),26690,25417,28320,26233,26198,24757,22725,14956,13832,15464,8858,3730,9415,7538,6343,1602,
应收账款(万元),40901,41508,31540,39317,40194,41519,35084,36097,34781,24417,21462,25028,25754,13748,14386,13767,
预付款项(万元),1942,2218,1563,4226,4100,2719,3044,1689,2078,1204,6782,1629,1097,1007,1286,708,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),458,648,643,671,648,835,290,326,259,127,152,201,241,161,166,102,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),31745,25714,25903,24499,25155,22783,21465,22612,22593,23542,19927,16986,15649,16619,15449,12903,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2117,1813,2361,1892,933,1872,586,632,1354,1033,569,379,953,452,356,--,
流动资产合计(万元),134663,134278,128022,128530,137329,130858,118550,81944,87548,96709,86909,86958,57002,43371,43430,35003,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,1000,6000,6000,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),585,562,492,454,553,493,407,375,351,316,2367,2372,2372,2082,2155,2382,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),595,602,610,618,625,633,640,648,656,331,336,339,347,--,65,18,
固定资产原值(万元),--,109825,--,93219,--,82973,--,76115,--,77060,--,71939,68730,62727,--,--,
累计折旧(万元),--,39846,--,36842,--,33793,--,31971,--,31468,--,28837,25894,20747,--,--,
固定资产净值(万元),--,69979,--,56377,--,49180,--,44144,--,45592,--,43103,42836,41980,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),69938,69979,56699,56377,50985,49180,44644,44144,44475,45592,44817,43103,42836,41980,40299,37946,
在建工程(万元),4799,5357,16167,7292,11233,7595,6846,6998,2368,1817,1147,1420,3108,3051,2867,1142,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),239,4,18,38,18,18,55,5,79,--,0,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),23226,23169,23315,23462,23606,23717,8581,8644,8715,8886,9036,8719,8789,9064,9273,9360,
开发支出(万元),2461,2289,1681,1681,1344,912,--,--,--,--,132,132,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),24,31,54,31,37,42,48,54,59,65,66,66,--,12,28,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1723,1692,1718,1717,1750,1693,1693,1668,1613,1544,1506,1513,1615,260,280,263,
其他非流动资产(万元),14750,6346,4806,11926,6057,5269,9989,4204,4744,2693,2759,3068,477,1095,643,439,
非流动资产合计(万元),118339,110031,105560,103596,96209,89552,73903,72740,69059,61243,62167,60734,59543,57544,55611,51550,
资产总计(万元),253002,244309,233582,232127,233537,220411,192453,154683,156607,157951,149077,147692,116545,100915,99041,86552,
短期借款(万元),18800,18800,18800,16800,16800,16800,15800,13800,13800,13800,14100,15800,15750,13715,13718,10827,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),20030,13265,15107,15434,14908,13475,7517,3488,2480,7810,7810,2480,2420,2590,4991,4188,
应付账款(万元),22855,23342,16092,16586,20683,18787,16695,15031,14541,13177,11394,9746,11068,10674,10545,7995,
预收账款(万元),121,105,956,1043,940,88,80,76,66,75,66,74,180,71,66,79,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1093,879,638,571,813,901,766,734,686,641,586,589,711,645,705,769,
应交税费(万元),1987,2297,1170,1131,1008,2304,2320,1738,2679,2259,1619,1856,3503,251,716,613,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),36,38,59,59,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),6537,6605,10027,9806,9712,9116,545,465,519,259,223,404,450,1272,1215,6325,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
