报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),20757,43601,4432,8373,5374,6430,4012,8315,8934,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,
应收账款(万元),248,351,14,18,2,111,177,67,243,
预付款项(万元),441,1084,1308,650,225,200,177,446,1122,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,
其他应收款(万元),196,83,46,41,54,50,65,66,67,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),11930,10633,9939,10430,8909,10039,10578,10147,9454,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),27500,--,2000,--,--,--,--,--,--,
流动资产合计(万元),61072,55753,17739,19512,14565,16830,15010,19042,19821,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1013,1053,1093,1133,1293,1373,1452,--,--,
固定资产原值(万元),--,44720,--,44661,44510,--,44724,--,--,
累计折旧(万元),--,15320,--,14254,12391,--,10536,--,--,
固定资产净值(万元),--,29400,--,30406,32119,--,34188,--,--,
固定资产减值准备(万元),--,140,--,195,195,--,367,--,--,
固定资产(万元),28707,29260,29784,30211,31923,32793,33821,34267,5648,
在建工程(万元),--,--,--,305,--,--,--,--,18727,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),5682,5727,5728,5770,5909,5980,6056,6226,6399,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,980,980,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),448,448,426,540,502,639,786,555,635,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),35850,36488,37031,37959,39627,40784,42116,42028,32388,
资产总计(万元),96923,92240,54770,57471,54192,57614,57126,61070,52209,
短期借款(万元),--,--,2000,1000,--,8000,2500,6000,8000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),3200,2635,640,2560,2858,2775,3508,4369,3232,
应付账款(万元),5016,5216,4399,2475,2693,4358,2572,4197,3604,
预收账款(万元),5641,5111,5169,8403,6204,4894,5460,6093,4357,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1041,1022,307,1055,1001,583,837,892,396,
应交税费(万元),1070,858,1299,1085,1255,794,1216,774,879,
应付利息(万元),--,5,9,8,18,30,24,31,42,
应付股利(万元),1088,--,--,--,930,1000,7000,1771,750,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),8309,3717,3305,3954,4282,4378,4731,4032,1707,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,3344,1880,1880,--,--,--,700,--,
其他流动负债(万元),--,--,--,10,--,--,--,--,--,
