报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),21582619,27325296,23402576,25136888,25291074,32086046,25811946,22613800,18665211,21640982,15368241,15326468,12312503,15406926,11065017,11707008,8758984,12340070,10541108,12225798,11146883,11735957,9420441,9549602,7861606,8815662,7165051,7304690,7393175,8209860,6592583,6175472,6323760,7897382,8469884,3991725,3348259,3415577,2275612,2273004,2598844,1568186,1309280,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
交易性金融资产(万元),480867,456674,261286,93694,111661,112683,144484,18024,18474,113023,59271,8143,32794,103776,76196,69709,62963,81510,75902,67605,91971,100568,73962,75883,77374,78039,80641,114306,112106,109667,115472,109062,114830,104344,2176,2613,7957,2356,2665,4535,11068,37634,7934,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
应收票据(万元),1804029,1693783,851656,849722,886207,884869,555226,641876,722470,673134,446056,640388,658175,535512,581920,712505,1352109,1568610,655602,506695,533696,718821,270443,251028,170836,212887,112135,51709,51525,64398,27950,25435,26676,25857,16886,20307,18211,17424,16166,25505,15738,10784,6555,
应收账款(万元),13728653,13771367,15706408,15489265,13375264,13864931,15791320,16005427,13317065,11555690,15477051,14250853,12131162,11843037,12592129,11301318,8858706,8359381,9352972,9475250,8208478,8116450,8456393,8051137,7046042,6601987,6586696,5860254,4788386,4806384,4946329,4703039,3906560,3928444,3850648,3643957,3262408,3310336,3417189,3151221,3089151,2728041,2419154,
预付款项(万元),4936045,3296720,2967104,2795539,3430489,3091751,3173620,2882647,3321671,2746486,2456464,2762808,2991983,3112901,4324537,3902759,4674570,3401102,3024406,3248768,3618435,3154713,2757147,2315829,2436458,2202180,2584554,2111646,2039203,1782343,2249309,2136199,4179785,2768487,1256659,1294150,1314638,1074359,1214446,1173943,962625,747652,647070,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,
