报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),7632,6704,7805,8267,3545,6118,1387,1941,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,200,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),21,10,13,13,--,--,--,--,
应收账款(万元),3766,4664,2717,2409,2013,1958,990,622,
预付款项(万元),1250,693,556,838,959,661,215,246,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,1,--,
其他应收款(万元),229,308,115,141,141,165,311,254,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),9511,9438,7721,6723,5462,4297,3059,1936,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,45,
其他流动资产(万元),35,2,143,171,142,52,622,546,
流动资产合计(万元),22444,21818,19071,18562,12263,13250,6786,5590,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),119,119,119,119,126,222,222,100,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,12,--,122,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,11188,10259,--,--,4878,4218,--,
累计折旧(万元),--,3271,2764,--,--,1832,1439,--,
固定资产净值(万元),--,7917,7495,--,--,3047,2779,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),8258,7917,7495,7316,6191,3047,2779,2388,
在建工程(万元),783,458,3,109,135,--,50,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),975,952,951,957,936,193,201,207,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),646,646,646,646,646,--,--,--,
长期待摊费用(万元),550,492,223,115,99,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),354,357,279,123,98,87,47,28,
