报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2012-03-31,2011-12-31,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
货币资金(万元),116226,107899,93515,68491,143567,112106,82137,81040,107585,30623,33575,45740,48872,31265,45284,59677,20050,26475,17348,21299,12141,22336,15493,7106,17515,19504,14035,13749,7165,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,165,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),14608,15947,9205,14157,10917,8009,5815,4939,3933,4794,8872,3597,6386,10517,6972,3044,2607,7002,11193,5694,4511,5081,4580,1304,4226,1972,2380,1280,177,
应收账款(万元),96165,111665,95268,76963,75824,82734,77073,79331,77893,71745,64542,70025,51333,51229,41958,42836,40932,38494,31348,30413,29282,30340,25768,31667,31586,29523,18600,21057,28910,
预付款项(万元),21671,16080,14509,19437,20661,17774,16720,13006,9418,11151,6016,7001,13902,12679,4050,4073,4712,5712,4106,3575,6510,2518,4105,5364,3013,3692,2284,2597,3159,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,252,303,160,247,443,389,381,173,210,152,116,210,170,144,68,67,124,77,--,--,--,--,--,0,0,20,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49,5409,0,0,0,
其他应收款(万元),2634,1898,2418,2144,1764,1326,1161,823,1451,1001,1551,1715,1898,1280,1318,1208,1076,1154,964,1085,1595,829,925,982,2394,2972,524,1824,4638,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),53171,46849,47277,50738,51133,43331,47657,42159,43611,41565,43688,34222,43904,41086,42023,44012,39051,34126,29874,33431,36616,26728,25712,25323,19456,18535,13542,12394,12675,
