报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),14990,8268,26142,25733,24667,34079,41189,208781,213426,224099,225913,24152,20827,26522,23574,22950,29078,30508,36887,37045,38090,38516,40103,39412,39915,5058,5989,3115,999,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,85,40,--,--,3,--,60,14,204,170,80,174,125,175,239,554,1225,939,399,155,180,207,43,15,328,256,20,50,
应收账款(万元),80614,87220,79165,94905,82096,74498,66481,72570,54229,49361,45906,4218,4096,3889,3925,4472,4617,3274,3391,4301,4555,4725,3692,4047,3256,3761,2872,3719,2722,
预付款项(万元),2591,2127,1896,12462,8872,4021,2094,7172,5840,3472,2724,281,411,846,549,279,553,519,266,273,584,831,331,611,667,2144,2072,834,1110,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,359,3562,1813,1813,1603,1279,1100,946,733,755,661,499,100,--,620,367,265,--,--,--,--,--,
