报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-03-31,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),17472000,21490100,20345600,19696500,19362300,18471400,17741900,17945700,16888800,16628500,16707600,16084800,15445200,15318200,16169900,16992200,16821900,18800700,17274300,17267900,15947328,17068672,15704700,15138744,15185357,14692301,13768186,13686767,12912008,12598447,12231317,11721578,10512769,10419688,8583251,8283638,7438118,6813283,6493598,5958878,5042573,4928682,5955429,5208746,4694993,4560812,3593692,2587571,3545995,2585504,3201501,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
拆出资金(万元),7006300,6878700,6301000,6292500,5363900,6340600,5620400,5722000,6464100,7238000,9369300,8250600,8691100,8895300,6932900,8137600,8104700,7450500,8663200,6932000,5718003,5638836,5048000,5913013,6461216,7409982,10325990,11303242,12231707,9673285,4215018,3440814,1792625,2255667,4826537,2359325,1154342,1072155,1830895,1001721,1714327,1497777,1544313,414512,1425935,1150836,403157,419900,584678,461932,235311,
交易性金融资产(万元),14075200,4915600,3826500,3588700,4550500,4291100,3388500,2565600,3768000,4095200,2229000,2893900,2983500,1652200,1702700,1187700,1297200,1336000,1223500,1546800,979936,1322122,1004529,1184664,577299,704069,894015,815415,567427,536063,555955,576353,1123516,1671767,1256095,1079416,1155287,1151570,1448041,2022297,2424010,1681131,1343541,572987,690402,625485,648320,485402,664874,1485272,660394,
衍生金融资产(万元),22400,26200,23800,35200,44500,20600,22500,22700,22200,21000,25800,29400,18200,13700,9900,10000,7500,5300,5500,6400,6580,8988,6113,4818,3476,3032,3251,3808,2155,2223,3320,2746,3450,2660,3907,2856,1760,1862,1889,3261,3782,5172,3696,1655,1746,1283,767,178,161,105,589,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收利息(万元),--,1639400,1470900,1433400,1625900,1395800,1227100,1193300,1323600,1271700,1089400,1122500,1157000,1096700,966600,935700,963800,898100,970600,846200,884399,761951,636395,656124,729066,700535,683791,636194,669821,507316,357398,326948,348990,283896,251742,219118,236202,199739,191398,159259,211035,172324,194353,162455,200541,148000,40146,23267,25015,18713,18294,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
买入返售金融资产(万元),6504400,4300100,4076600,5130200,3551000,6307200,4968200,3793000,4768000,8264300,7002700,4547300,7757000,13872200,15258800,13649500,9466900,13317900,14042700,16655000,14941646,12374771,9145940,7844635,9258867,8848795,10985794,10844090,4605893,2322864,6290238,7132015,4685733,6511466,1824439,3147249,1203063,4274668,1772197,2918413,3027482,4270437,3265036,1075408,2570657,2789529,2041657,942407,1049925,1002460,732050,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
发放贷款及垫款(万元),128943400,121864500,119934700,117350100,110514600,103902300,103017100,99833500,92917100,86795500,85287500,83575400,79354900,74791700,73008400,71391900,68451200,65471800,64987200,62688400,59958090,56885223,54901693,53230395,51254234,48344529,46189564,44256794,41519635,39607692,38325089,36816090,35014789,32760280,31697029,30424489,28704657,26745011,26294360,24413801,21314076,18769032,17932554,17180029,16358527,15332413,14072354,13292684,12552705,10777133,10489330,
可供出售金融资产(万元),--,23429000,23492300,22161800,20350200,18425500,16863600,16791700,16596800,17702600,14934600,13283800,11777100,12794100,11259200,10683100,11002500,10970600,10122500,9919700,9753439,9643079,10367981,9873660,9682830,9498306,9871224,9236905,8661054,8630350,8570951,8183437,8100295,7838830,9658578,9069868,9459003,6359587,6901781,6642363,6112776,8097906,8149599,9280861,8294043,8294593,8049352,7247787,7329864,963588,746619,
持有至到期投资(万元),--,22858100,23615900,22734900,22661800,22609500,22704900,22136500,21354400,20843100,18311200,17233300,15896600,14756200,14685800,12434000,11849500,12009900,11147200,10804000,10721555,10833126,10194446,10103956,9679318,9705505,9811018,9551179,9188485,8857296,8369242,7239910,6709779,6410810,5159528,4852629,4433690,4472362,3507240,3099578,2649254,0,0,0,0,0,0,0,--,3788672,2684426,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
长期股权投资(万元),251200,232500,178900,178800,184100,176000,178800,177400,160600,163900,210700,207400,212400,212400,207300,191000,185700,177900,171900,202800,195973,190638,195901,197736,157363,135516,137132,139103,123784,120634,121102,128303,118923,117756,123566,34079,32691,31082,30406,24332,23133,21673,17685,4935,3060,3060,0,0,--,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,--,--,0,
投资性房地产(万元),38300,38800,35500,35900,36300,36700,48500,49000,49500,50100,51500,22400,23700,24000,32800,33200,33600,34100,34500,34900,35370,35875,31804,32245,34108,34563,21162,21455,21747,22040,22332,22625,22917,23210,23503,23795,24088,24380,24673,24965,25258,25550,25843,27607,24486,24757,7532,0,--,--,0,
固定资产原值(万元),--,1999700,--,929600,--,1532200,--,779300,--,764200,--,1061600,--,769100,--,707400,--,692400,--,624400,--,482163,--,460434,--,446265,--,331589,--,327017,--,307903,--,303073,0,261511,0,248708,0,239662,0,235298,0,221919,0,218769,0,0,281188,247082,0,
累计折旧(万元),--,418500,--,394800,--,371000,--,345700,--,319900,--,300300,--,274400,--,241700,--,217700,--,199300,--,179793,--,170023,--,152137,--,139457,--,125568,--,115050,--,108434,0,103342,0,95225,0,90546,0,83386,0,80484,0,75461,0,0,89636,81059,0,
固定资产净值(万元),--,1581200,--,534800,--,1161200,--,433600,--,444300,--,761300,--,494700,--,465700,--,474700,--,425100,--,302369,--,290411,--,294127,--,192132,--,201449,--,192853,--,194638,0,158169,0,153483,0,149116,0,151911,0,141435,0,143308,0,0,191553,166023,0,
