报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),1012219,799237,843737,1524760,1292168,1286485,1685920,1361954,1282663,1272450,1720754,2865127,1786931,1044205,821391,587729,479884,500489,697464,647994,1136040,1106693,624535,789418,
结算备付金(万元),420002,329539,415940,350222,456345,408504,500771,512421,541722,592286,569002,610005,294897,392139,135981,90160,93745,67542,64468,45855,105371,188840,46365,193930,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,372853,--,--,--,--,--,--,--,--,
交易性金融资产(万元),1642435,1472726,1178129,1095874,840721,850934,503738,543891,1236046,795966,1036526,470414,242415,119033,115689,227120,95547,86784,73915,8524,42583,--,--,--,
衍生金融资产(万元),6262,1085,4781,7401,4929,5143,5754,4127,6294,89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),32360,17604,21231,18028,86464,8013,24619,23915,14625,9522,11404,8534,7224,4479,5728,--,3491,--,3570,4778,--,--,--,13198,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),116226,103864,85298,81156,77133,78196,66087,65921,54130,45053,41033,35445,23470,20272,17769,12774,11326,12209,4552,3304,1923,372,176,43,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),105184,73294,88381,75940,84546,62483,78515,70963,78895,72534,127626,150860,119661,101733,99330,68196,42703,49134,60469,36365,20893,16048,5903,14590,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),975623,963212,665523,544433,749884,1257496,661384,864389,944378,638690,587470,628405,275783,340125,618985,402501,164043,37418,231925,--,174133,112668,8000,--,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),3282807,2891426,2584106,1915918,2331090,2203089,2392385,2566063,2487199,2521749,2198282,1745063,1385327,1274037,1119524,909978,939097,1144513,882556,360011,397776,120566,--,--,
持有至到期投资(万元),--,--,18704,19068,23836,23937,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),23464,23461,18342,18342,18333,18333,--,--,--,--,--,--,--,--,38,182,50,389,--,140,140,140,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),3328,3392,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,51838,--,55283,--,54870,--,51845,--,49297,--,47599,--,46876,46369,--,45003,--,44108,43041,30494,22549,--,--,
累计折旧(万元),--,30916,--,30605,--,28557,--,26642,--,24811,--,23544,--,22012,21424,--,19527,--,16791,13798,10879,8181,--,--,
固定资产净值(万元),--,20922,--,24679,--,26313,--,25204,--,24486,--,24055,--,24864,24945,--,25476,--,27317,29243,19615,14368,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),20449,20922,25017,24679,25152,26313,26234,25204,24354,24486,24356,24055,24564,24864,24945,24690,25476,26059,27317,29243,19615,14368,13813,12658,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,92,--,--,771,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2359,2729,2230,2233,2440,2823,1823,2307,2142,2439,1940,1853,1980,2182,967,1146,1391,619,490,713,1361,1407,1766,2211,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,--,2000,--,2000,2000,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,305,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),55137,55680,53358,51396,52193,56235,40993,47264,54969,44892,37706,33505,20056,19330,16739,12029,13950,5416,6308,7226,7463,7437,--,--,
