报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),12800,47789,96573,137511,174871,159041,152288,151611,133080,140012,213721,15132,17137,20939,14482,16028,18241,32314,10001,12498,14504,15994,13842,13875,17548,23622,21476,24458,26708,27965,30558,31224,33272,35818,35044,2873,2562,1969,2502,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1610,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),42136,50294,174597,227546,303601,347194,191141,220847,91907,161862,7759,173,177,197,77,176,349,293,37,101,73,266,187,135,128,43,--,--,200,221,--,47,--,--,17,20,0,0,20,
应收账款(万元),792232,891145,816264,878070,883347,843808,993144,802923,713426,538220,463166,31139,28555,34205,28834,27331,24721,27783,22450,20873,20319,20810,19135,16321,14029,13797,14362,11110,9893,9632,10141,9250,8411,8649,8297,6430,6950,5206,3419,
预付款项(万元),11518,13189,32242,33153,147371,95797,100180,115491,40576,29295,26953,6810,5789,5703,6857,7322,4887,4480,5806,5131,5124,2971,4971,6362,8092,6311,4601,5201,4917,4332,631,428,205,213,744,364,90,221,101,
应收保费(万元),--,--,--,--,--,--,392,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),1,1,--,237,167,120,--,236,34,36,8,7,19,40,74,45,19,26,5,90,53,79,69,50,92,177,632,555,436,406,701,587,384,159,--,0,0,0,0,
应收股利(万元),--,--,--,600,600,600,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),--,23866,42364,40417,46716,33623,38331,30084,26388,21573,27150,7046,7115,6511,6954,5005,6224,4169,4200,3547,3467,2133,2104,1638,3767,947,2762,1193,1528,523,1118,826,380,91,538,191,139,484,745,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),226021,218840,234857,265216,545408,596977,564138,453502,387560,316068,308975,27878,24275,24297,24291,22692,21371,20016,8077,5512,4147,3051,3787,2492,2310,1741,1657,1543,1662,1323,1323,1456,1239,987,663,650,480,652,686,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),22146,23536,28864,23649,27079,26446,18240,18094,12460,17651,1287,--,--,--,1,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),33149,34349,59098,72765,57941,63476,52704,27338,14734,14068,10701,109,149,112,247,547,546,552,298,297,435,463,229,313,276,279,384,318,441,369,263,283,236,228,211,292,252,72,101,
流动资产合计(万元),1150822,1303009,1484894,1679163,2187100,2167082,2110558,1820127,1420165,1238786,1059721,88294,83215,92004,83427,79147,76358,89633,50875,48049,48121,45766,44324,41186,46242,46917,45874,44378,45785,44769,44733,44102,44128,46145,45515,10819,10474,8604,7573,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),7546,7546,8796,8816,9308,9308,9308,9300,25777,4300,4108,4108,4013,1513,1515,1515,779,779,112,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),70217,73229,87260,88372,103431,105247,92438,96451,89921,76840,12504,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),17185,19263,21414,21120,21225,22190,23557,23350,1257,1248,1154,353,354,354,355,355,355,355,360,112,112,112,112,112,120,112,120,120,120,20,20,20,20,20,20,20,20,20,20,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),--,492,501,509,517,525,394,401,407,414,420,427,433,433,1343,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),--,436753,--,474158,--,369848,--,306065,--,229526,--,18336,--,17310,--,15200,--,17375,--,13118,--,13111,--,10564,--,10388,--,6265,--,5691,--,3755,--,3585,--,3301,1975,1301,678,
累计折旧(万元),--,126396,--,112367,--,77441,--,53376,--,32632,--,4046,--,3662,--,3303,--,3414,--,2646,--,2217,--,1794,--,1490,--,1162,--,916,--,724,--,602,--,464,358,230,114,
固定资产净值(万元),--,310358,--,361791,--,292407,--,252689,--,196895,--,14290,--,13648,--,11897,--,13961,--,10472,--,10894,--,8770,--,8898,--,5102,--,4775,--,3031,--,2983,--,2837,1617,1071,564,
固定资产减值准备(万元),--,46329,--,38380,--,1884,--,462,--,462,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
