报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),11546,11683,13894,17846,6764,5266,6704,6585,8269,8529,33816,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,130,130,35,35,--,--,131,105,155,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),6741,6150,5537,4251,4018,4669,2192,1300,795,479,97,
应收账款(万元),26650,28509,27596,26217,24869,23578,20360,19553,15924,13294,14520,
预付款项(万元),1912,1604,3289,727,1688,451,490,488,951,677,1052,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,2,2,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,234,
其他应收款(万元),1272,1114,1287,1072,1357,1738,836,1596,989,888,8074,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),44189,40788,41271,40197,37351,34921,36087,34908,29405,26265,32447,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),3020,3472,5473,5974,263,899,1563,766,845,--,1,
流动资产合计(万元),95330,93321,98478,96417,76346,71558,68232,65196,57309,50236,90397,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),707,707,707,707,707,707,707,707,707,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,707,707,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,618,626,642,675,--,--,437,
固定资产原值(万元),--,76433,--,74932,--,65255,64860,--,--,--,--,
累计折旧(万元),--,30535,--,28396,--,25270,23081,--,--,--,--,
固定资产净值(万元),--,45898,--,46536,--,39985,41779,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),49298,45898,44978,46536,43760,39985,41779,42262,34793,33368,21633,
在建工程(万元),12461,13085,8837,7943,8161,11958,10594,3826,6902,1657,3940,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10583,10736,10784,10821,10632,10674,10206,10477,8966,7612,7578,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),19,19,111,19,19,19,19,19,19,--,--,
长期待摊费用(万元),327,441,395,366,397,257,165,86,153,113,165,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),762,767,769,765,665,595,638,789,568,535,243,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),74156,71652,66582,67156,64958,64821,64749,58839,52108,43992,34703,
资产总计(万元),169486,164973,165060,163573,141304,136379,132981,124035,109417,94227,125100,
短期借款(万元),6000,6000,3050,8400,32705,32685,34273,26165,22225,21137,55869,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,63,174,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),8164,6528,7265,7140,6024,4681,2625,2021,4221,1495,22149,
应付账款(万元),19630,19089,19476,18609,15659,15901,13214,14568,11681,9249,10069,
预收账款(万元),588,533,2572,154,1993,180,131,571,106,93,116,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),3046,2555,2809,3336,2422,2023,2810,2621,2135,2019,1779,
应交税费(万元),663,1027,964,1123,95,1205,779,1318,634,183,218,
应付利息(万元),6,6,6,20,52,55,89,47,63,78,267,
应付股利(万元),171,171,48,48,48,48,--,--,--,59,886,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1038,993,974,1318,1272,965,747,1022,678,326,4339,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,35,--,--,10,8459,--,500,--,
其他流动负债(万元),20,--,11,--,49,--,--,--,--,--,--,
流动负债合计(万元),39326,36903,37174,40182,60319,57743,54739,56966,41743,35140,95690,
长期借款(万元),--,--,--,--,--,--,2985,--,8459,4300,3500,
应付债券(万元),--,--,--,--,--,--,--,--,--,8459,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,5689,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),5511,5600,--,3358,--,3549,3732,4122,3057,--,--,
递延所得税负债(万元),1,--,20,20,--,5,--,--,20,8,17,
其他非流动负债(万元),--,--,--,--,3461,--,--,--,--,1031,--,
非流动负债合计(万元),5512,5600,5709,3378,3461,3554,6717,4122,11535,13798,3517,
负债合计(万元),44838,42503,42883,43560,63780,61297,61457,61088,53278,48938,99207,
实收资本(或股本)(万元),20240,20240,20240,20240,15180,15180,15180,15180,15180,15180,6771,
资本公积(万元),56818,56818,56818,56818,21430,21430,21430,21430,21450,21450,4843,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3398,3398,3398,3398,2606,2606,2606,1640,981,65,850,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),38672,36242,36016,33895,32554,30289,26698,19154,13056,5985,9845,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,-252,-240,
归属于母公司股东权益合计(万元),118559,116376,116158,114057,71546,69191,65594,57069,50330,42428,22069,
少数股东权益(万元),6089,6094,6019,5956,5977,5890,5930,5878,5810,2861,3824,
所有者权益(或股东权益)合计(万元),124648,122470,122177,120013,77524,75082,71524,62947,56139,45289,25892,
负债和所有者权益(或股东权益)总计(万元),169486,164973,165060,163573,141304,136379,132981,124035,109417,94227,125100,		
  
