报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),204580,187834,197665,200766,198202,45087,38415,29892,24126,25154,12780,12395,14235,20627,16919,10039,6818,8869,7278,10495,7903,8486,9864,19923,27523,28757,24875,26323,29018,30970,30135,34846,38855,41203,45060,51288,2278,3975,4600,1242,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),10194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),19826,23969,15831,26260,26604,18584,20789,33276,29913,27411,13253,12285,12412,15109,7867,9926,5155,8555,6404,9381,9877,11832,7125,4972,5105,5251,6153,6284,7884,8882,2070,3562,4136,4282,1060,695,550,576,154,277,
应收账款(万元),100341,87436,112722,108797,77546,73005,72594,60238,47222,51207,51404,43534,35935,32210,33350,21150,24421,20969,20898,16865,16589,15544,18609,17481,12039,11954,14355,13278,12805,13048,21238,19400,26241,24727,19710,18062,15770,10294,8977,9752,
预付款项(万元),3765,5922,4825,4667,12020,5259,1046,1720,1064,1012,2638,1533,3831,1620,5230,2347,2254,2100,2555,2610,1912,2550,3212,4189,3889,3697,9152,8108,8448,7947,7900,4990,4199,4425,7888,4217,3807,1356,1758,2226,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),1206,1276,--,1035,104,17,6,3,13,4,1,--,--,45,14,5,13,9,2,9,5,12,10,21,30,32,33,38,126,94,127,79,337,189,278,111,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),--,449,2337,314,336,303,322,337,338,250,301,368,381,286,824,433,214,223,207,196,297,530,493,303,599,718,834,758,483,329,490,1306,352,468,821,1382,594,1277,194,1005,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),32485,28191,38808,29533,33390,26019,37072,39403,31897,24263,32224,29160,27160,20320,27789,19087,17439,14728,17976,20238,18135,15319,18709,13734,14786,14178,16512,14129,13903,13127,15496,19146,11630,7734,11667,11999,9327,6750,3879,2356,
