报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),43198,47145,46827,53468,17894,16764,15044,15807,14134,16814,13647,15462,7557,6878,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1321,724,730,429,563,828,347,130,78,286,105,87,343,26,
应收账款(万元),25157,29893,27918,21828,17912,16435,16494,17034,17825,14682,18154,16065,11552,11594,
预付款项(万元),5434,2411,1984,445,368,197,241,651,636,1243,2724,392,195,255,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),36,14,17,3,142,4,16,228,311,52,52,198,26,164,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),16634,16695,16145,17709,16350,14127,16117,15429,16521,12211,9989,8870,8305,7650,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1997,2306,1651,2240,--,--,--,--,--,30,10,10,13,10,
流动资产合计(万元),93776,99187,95272,96122,53228,48356,48260,49280,49505,45318,44680,41084,27992,26577,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),89,28,41,19,22,22,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,--,--,49646,43166,39687,36683,--,28948,18265,17465,17180,14297,--,
累计折旧(万元),--,--,--,13468,12712,11763,10188,--,7307,6879,5939,5539,4147,--,
固定资产净值(万元),--,--,--,36178,30454,27924,26495,--,21641,11386,11525,11641,10150,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),36167,36886,35296,36178,30454,27924,26495,21014,21641,11386,11525,11641,10150,10172,
在建工程(万元),8549,5056,4595,3037,7102,9516,8238,8772,7057,15688,9281,6779,986,651,
工程物资(万元),353,345,323,324,322,321,364,398,344,346,242,165,58,67,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5930,5968,6005,6043,6082,2497,2507,2361,2389,2399,915,923,915,937,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),435,503,549,611,673,448,543,492,536,--,--,--,10,31,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),431,494,431,385,361,341,387,518,450,296,251,197,165,139,
其他非流动资产(万元),3525,809,1629,1070,1252,4997,2869,3130,1696,2012,4634,3627,3168,753,
非流动资产合计(万元),55480,50090,48869,47666,46267,46065,41403,36684,34112,32127,26847,23332,15453,12749,
资产总计(万元),149255,149277,144142,143788,99495,94421,89663,85964,83617,77444,71527,64416,43445,39326,
短期借款(万元),4246,4867,3224,6352,6378,6074,7919,6443,7812,9233,11066,8873,4728,7746,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,78,297,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),13332,16755,16625,13316,12061,9347,10712,16440,13765,15722,15064,11931,4794,2168,
应付账款(万元),15431,17413,14716,15410,15003,13352,12815,12161,17188,12187,11046,11770,8313,9521,
预收账款(万元),3774,466,561,1768,214,166,432,120,319,189,737,247,61,173,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2195,1896,1422,2660,1676,1283,1530,1264,1400,817,464,678,415,198,
应交税费(万元),508,606,590,564,-1477,-1401,-1291,-780,-1646,-1037,-492,-593,-184,-426,
应付利息(万元),29,29,24,29,37,30,55,26,36,54,32,30,20,37,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,55,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),503,513,466,867,195,185,193,218,144,34,47,82,93,87,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),4800,4800,3597,4800,5040,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),44817,47344,41223,45766,39125,29036,32365,35893,39018,37278,38261,33017,18295,19503,
长期借款(万元),6669,5709,7607,6720,7920,14400,9600,6900,5500,3600,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),817,829,855,697,721,742,518,429,534,594,--,206,--,145,
递延所得税负债(万元),--,17,--,--,3,18,9,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,200,--,230,--,
非流动负债合计(万元),7486,6554,8462,7417,8644,15160,10127,7329,6034,4194,200,206,230,145,
负债合计(万元),52303,53898,49685,53183,47769,44196,42492,43222,45053,41472,38461,33223,18526,19648,
实收资本(或股本)(万元),7335,7335,7335,7335,5500,5500,5500,5500,5500,5500,5500,5500,5500,5000,
资本公积(万元),47192,47192,47193,47192,12239,12239,12239,12239,12239,12239,12239,12239,12239,5970,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),278,275,224,269,310,303,239,110,13,4,106,76,140,--,
盈余公积(万元),4023,4023,4023,4023,3177,3177,3177,2161,2161,1374,1374,1374,687,635,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),38125,36554,35681,31787,30500,29006,26017,22733,18652,16855,13848,12004,6353,8074,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),96953,95379,94456,90605,51726,50225,47171,42742,38565,35972,33067,31192,24919,19678,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),96953,95379,94456,90605,51726,50225,47171,42742,38565,35972,33067,31192,24919,19678,
负债和所有者权益(或股东权益)总计(万元),149255,149277,144142,143788,99495,94421,89663,85964,83617,77444,71527,64416,43445,39326,		
  
