报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
工程物资(万元),1639,1424,1591,1540,1625,1557,1360,1379,1323,1465,1431,1401,1482,1317,1274,1263,1381,1432,874,807,928,978,882,917,880,1724,1087,1114,
固定资产清理(万元),--,--,--,--,--,--,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5436,5441,5441,5441,5441,5441,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),43811,44314,41294,41172,38214,28247,25149,25232,25473,25522,20573,20915,21609,21324,21905,22129,23282,23662,21219,20311,20262,4961,2957,2650,2716,2515,2739,2270,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,8963,15530,15530,15185,
长期待摊费用(万元),245216,251083,253527,257455,261152,267075,159691,163637,168855,172128,170664,176211,182772,186894,181846,185807,187434,188418,183811,186329,188876,190249,177455,177101,174642,178324,158209,136730,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),7,7,13,13,5,5,3,3,3,3,2,2,2,2,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他非流动资产(万元),28789,27148,24886,27296,32927,35249,10395,10423,11561,11188,--,--,--,--,--,--,--,--,378,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),2349860,2344987,2289649,2281459,2267507,2245426,1469110,1257710,1258142,1246624,1206026,1195586,1194582,1192405,1155376,1151340,1147555,1136484,1110915,1075888,1063311,1042212,980262,975754,958881,963715,895343,840750,
资产总计(万元),3205412,3220349,3017621,3110927,3193744,3166020,1987172,1905390,1874627,1858445,1846538,1815432,1511203,1503056,1444886,1604721,1424267,1407450,1367214,1362790,1326545,1304445,1238068,1212195,1192162,1148398,1041047,969954,
短期借款(万元),113288,112547,11527,9693,8230,7730,6902,4430,4650,4650,4150,4430,3431,2431,4946,2563,2763,1772,3656,1160,1531,800,800,108400,108120,107700,51500,1500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),778,628,612,51149,1616,1809,1673,1670,1835,1251,981,762,2820,2939,1103,1672,2978,2036,1229,446,1097,942,136,231,180,136,--,--,
应付账款(万元),206758,259435,205894,234333,199508,241065,111011,105878,111401,128420,115503,119992,104331,118946,94951,109871,104966,114814,103768,110317,105437,106800,79617,82692,82217,83486,75897,76369,
预收账款(万元),428934,403183,382995,412460,452418,403188,221349,229513,226192,212485,186472,184879,189277,184829,170311,163926,163531,158431,153517,140445,138402,122505,112628,112395,108271,102667,79866,44168,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),60313,86863,68317,67533,49500,81481,43121,37961,27888,41686,32204,28493,19333,30385,25415,22001,14847,28773,25335,21582,16373,29457,24423,20063,16067,28723,24892,17584,
应交税费(万元),2491,2275,1634,1061,1296,1688,1920,1491,1832,1573,1322,366,587,1608,968,805,427,995,1952,853,-295,937,-700,869,643,719,554,474,
应付利息(万元),1771,1115,307,2309,3999,2592,2063,1062,3033,2104,1169,258,7643,5683,3615,8475,5227,3435,1585,5560,3989,2463,900,--,191,129,73,90,
应付股利(万元),2696,3252,4143,43796,2184,4903,3233,3724,898,652,51760,3968,275,592,878,45498,43042,210,4017,1239,266,261,373,39323,37004,2,450,450,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),76185,59421,68671,57612,78879,54599,52028,51190,43856,43799,49839,50597,47586,47583,58568,44294,48546,39006,41569,34017,35522,34250,35983,37459,33656,28377,29332,25731,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),972,972,745,745,736,736,728,4042,4042,4042,613,613,613,613,--,--,--,--,--,--,--,--,--,--,--,--,7000,45000,
其他流动负债(万元),2476,2476,--,--,100000,100000,100000,100000,100000,100000,100000,100000,150000,150000,150000,300000,150000,150000,150000,150000,150000,150000,--,--,--,--,--,--,
流动负债合计(万元),896664,932168,744845,880691,898368,899790,544028,540963,525626,540661,544014,494359,525895,545610,510753,699105,536328,499472,486629,465618,452322,448414,254160,401433,386349,351939,269564,211366,
长期借款(万元),134,167,203,235,275,306,345,33971,35728,28427,24201,19979,14337,10951,3414,3514,3514,3452,2986,--,--,--,--,--,--,--,--,7000,
应付债券(万元),80000,80000,80000,80000,80000,80000,80000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,150000,--,--,--,--,--,
长期应付款(万元),263,248,540,833,812,791,920,1055,1028,1001,1280,1866,1833,1800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),9510,10003,--,10895,--,11875,10651,10813,11112,11350,11422,11852,12211,12363,--,--,--,13457,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,10407,--,11463,--,--,--,--,--,--,--,--,--,13447,12617,13877,--,11599,12937,11498,12781,12730,11117,12354,12194,10609,8149,
非流动负债合计(万元),89906,90418,91151,91963,92550,92972,91916,45840,47869,40778,36903,33697,28382,25114,16860,16131,17391,16910,14585,12937,11498,12781,162730,11117,12354,12194,10609,15149,
负债合计(万元),986570,1022586,835996,972653,990918,992763,635943,586803,573495,581438,580917,528056,554277,570724,527614,715236,553718,516382,501215,478555,463820,461195,416891,412549,398702,364133,280173,226515,
实收资本(或股本)(万元),388453,388453,388453,388453,388453,388453,388453,298810,298810,298810,298810,298810,239110,239110,239110,239110,239110,239110,239110,239110,239110,239110,239110,230610,239110,227450,682350,682350,
资本公积(万元),646043,646043,646043,646043,646043,646043,646043,735686,735686,735686,735686,735686,483191,483191,483180,483180,483180,483180,483180,483180,483180,483180,483180,483180,483180,454846,1,1,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),66314,66314,59433,59433,59433,59433,51484,51484,51484,51484,48362,44133,44133,44133,36820,36820,33821,33821,27176,24176,24176,24176,18375,18375,18375,15575,7707,3617,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),248734,235166,233270,201716,223097,202545,196436,165040,145435,123090,115976,143791,122938,100828,93662,68171,54333,76390,62914,91404,73600,55208,46059,33083,18222,52485,42441,33987,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),1349544,1335976,1327199,1295646,1317026,1296474,1282416,1251020,1231415,1209070,1198834,1222420,889372,867262,852771,827280,810444,832501,812379,837869,820065,801673,786723,765247,758887,750355,732499,719954,
少数股东权益(万元),869298,861787,854425,842628,885800,876784,68813,67567,69717,67937,66787,64956,67555,65070,64502,62205,60105,58567,53620,46366,42661,41578,34454,34398,34573,33910,28375,23485,
所有者权益(或股东权益)合计(万元),2218842,2197762,2181625,2138274,2202827,2173258,1351229,1318587,1301132,1277007,1265621,1287376,956926,932332,917272,889485,870549,891068,866000,884235,862726,843250,821177,799645,793460,784265,760874,743439,
负债和所有者权益(或股东权益)总计(万元),3205412,3220349,3017621,3110927,3193744,3166020,1987172,1905390,1874627,1858445,1846538,1815432,1511203,1503056,1444886,1604721,1424267,1407450,1367214,1362790,1326545,1304445,1238068,1212195,1192162,1148398,1041047,969954,		
  
