报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),173819,167130,189661,184525,189556,191448,232868,209327,217133,214640,231804,221440,215436,218864,218261,180820,209509,202480,200738,204888,180563,223136,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),764,1184,761,907,724,561,460,603,1025,951,563,366,1629,692,1970,3113,2135,240,80,30,--,203,
应收账款(万元),30478,23966,25043,23026,30671,25586,33047,31965,29689,28981,28228,27350,31640,19314,25392,22046,16331,20198,13284,10404,10635,6101,
预付款项(万元),21218,23984,23046,17698,21938,16564,25638,21368,23500,28626,29918,26797,26505,21423,27254,20573,18921,24644,22821,15405,15531,9263,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),323,597,321,547,423,601,465,580,563,1151,712,684,951,727,403,339,1257,601,1129,645,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),6906,6125,3920,6451,4260,4135,5316,4815,3586,4145,7929,4161,7227,3598,6018,4030,2971,3717,3609,2296,6180,37276,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
