报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2011-09-30,
货币资金(万元),733875,816380,851977,745731,788778,401788,375605,265533,213266,156468,196046,169405,197435,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,150,387,327,--,100,740,1079,722,--,--,--,--,
应收账款(万元),117020,133825,105224,122092,93664,151475,136667,136233,108514,114159,74250,18084,18827,
预付款项(万元),34450,30566,27125,21414,25623,21518,16419,15088,9524,16697,17332,34806,87389,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),42,13731,13667,--,--,--,--,--,61,3,--,292,--,
其他应收款(万元),30101,30591,31133,15897,30619,31283,21783,20698,20554,15726,16372,15392,60258,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),129651,131351,145409,121860,101823,104396,126220,90745,83280,60878,38155,19426,28723,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,199,--,--,--,--,--,--,
其他流动资产(万元),254849,8506,2014,7399,3423,3431,21824,3549,1262,474,--,303,--,
流动资产合计(万元),1299987,1165101,1176936,1034720,1043929,713990,699457,532925,437183,364406,342968,257708,400747,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
