报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),56001,54573,65107,62041,50833,42882,60457,50732,45568,66873,36264,42131,60613,38931,38305,29540,32302,32923,22916,30866,28822,47596,29495,45898,37684,40007,57776,39234,46789,60006,88597,16530,6813,1536,2677,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),1771,635,474,428,439,683,1015,185,223,494,447,119,58,99,189,180,84,84,212,576,257,297,330,386,--,60,128,155,155,40,40,70,--,--,--,
应收账款(万元),4578,4764,4411,3174,2621,3619,3203,1822,2083,2777,1604,1233,1858,1651,953,1104,935,1359,1516,1388,667,749,754,656,336,76,273,120,77,133,241,58,51,55,34,
预付款项(万元),431,657,644,601,345,627,575,573,784,748,1050,693,496,389,513,355,267,803,2661,2685,2594,3933,3744,2357,182,172,114,30,58,69,76,78,116,32,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
其他应收款(万元),--,125,174,158,133,577,549,158,169,183,200,224,194,209,429,206,1009,198,207,215,255,922,813,780,25,32,30,35,65,155,19,37,110,551,1634,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
存货(万元),136,155,135,150,140,157,142,131,130,190,177,185,142,136,132,136,119,146,87,73,56,67,70,--,--,--,0,--,--,--,--,0,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
一年内到期的非流动资产(万元),800,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
其他流动资产(万元),261,2184,14146,15784,14347,14508,13775,14359,11950,11966,12290,12470,12098,10918,10908,11077,10953,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
流动资产合计(万元),64044,63093,85092,82336,68860,63052,79717,67960,60908,83230,52031,57055,75458,52333,51430,42597,45670,35512,27600,35805,32650,53565,35206,50078,38227,40347,58321,39574,47143,60402,88972,16774,7089,2174,4345,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
可供出售金融资产(万元),1600,--,--,--,--,--,--,--,--,--,--,10,10,10,10,10,10,--,0,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
长期应收款(万元),2900,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,800,800,800,800,800,800,800,800,800,800,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,10,10,10,10,0,--,0,--,0,--,--,--,--,0,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,789,838,887,936,990,0,--,0,--,0,--,--,--,--,0,--,--,--,
固定资产原值(万元),321679,--,310090,--,308688,--,269351,--,245680,--,219964,--,220781,--,149013,--,147106,--,126701,--,122383,--,119395,--,81335,--,80458,--,42534,--,37671,0,34237,16007,10400,
累计折旧(万元),110716,--,97596,--,84620,--,73463,--,59716,--,51262,--,44106,--,38162,--,32136,--,26528,--,21570,--,16718,--,13928,--,10617,--,8126,--,6586,0,5208,3353,2688,
固定资产净值(万元),210963,--,212494,--,224068,--,195888,--,185965,--,168702,--,176675,--,110851,--,114969,--,100173,--,100813,--,102678,--,67407,--,69841,--,34408,--,31085,0,29029,12654,7712,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
固定资产(万元),210963,206483,212494,218391,224068,206368,195888,185082,185965,165226,168702,173570,176675,149060,110851,112968,114969,100485,100173,99895,100813,101695,102678,82820,67407,68423,69841,53696,34408,34020,31085,31509,29029,12654,7712,
在建工程(万元),--,86431,72028,70033,66743,81115,93604,105220,88325,103253,98445,93540,90782,107986,139245,131572,125566,121952,111461,101751,96271,67030,60829,65241,76357,51424,39489,50682,64090,54021,49843,33626,32781,23302,4929,
工程物资(万元),--,--,9121,8854,8050,12222,9935,9965,23253,24636,22988,25064,23640,27626,29850,25626,24314,23271,22614,21041,21192,38020,37756,34862,32673,42298,39978,33787,28338,20565,16688,19734,13497,3098,2063,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,--,--,--,0,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,0,--,--,--,--,0,--,--,--,
无形资产(万元),5447,5501,5500,5548,5599,5653,5610,5654,5696,5727,5754,5770,5801,5821,5864,5901,5947,4949,4998,5040,5088,3833,3837,3870,3905,3865,3891,3918,3945,3118,3121,3131,3148,3216,3267,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,7,11,5,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
商誉(万元),2251,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,2800,1769,0,--,--,--,--,--,--,0,--,--,--,
长期待摊费用(万元),523,600,681,764,851,938,1026,1113,1163,1179,1322,1778,1392,1455,1546,1795,1276,949,950,1040,1100,1173,1135,1144,1225,623,203,67,86,106,129,151,175,273,365,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
递延所得税资产(万元),40,58,54,44,39,81,71,45,31,49,39,36,40,31,28,28,33,34,35,30,16,80,27,25,7,6,6,4,4,8,8,5,6,11,55,
其他非流动资产(万元),--,--,--,--,--,--,--,--,3642,3797,3952,4107,4262,4417,4573,4728,4883,5038,5193,5348,5503,5659,11170,9574,2141,--,0,--,--,--,--,0,--,--,--,
非流动资产合计(万元),304976,304072,304878,308635,310351,311378,311134,312080,313075,308867,306203,307948,306676,300488,296051,286707,281073,261551,250347,239116,235006,221765,220232,199304,183714,166639,153409,142154,130872,111839,100874,88157,78635,42554,18391,
资产总计(万元),369020,367166,389971,390971,379210,374430,390851,380039,373983,392098,358235,365003,382134,352821,347481,329304,326742,297063,277947,274921,267656,275329,255438,249382,221941,206987,211730,181728,178015,172240,189846,104930,85724,44728,22735,
短期借款(万元),35000,50000,67000,49900,63900,62800,87200,69200,60200,71300,63900,64800,72400,56400,46400,43400,48400,28570,12870,4990,4990,7990,10990,16000,16000,9000,14000,3000,3000,2000,4000,6000,6000,5000,6250,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应付票据(万元),--,--,232,291,145,339,2187,2162,817,3053,3684,4622,4439,2044,6453,10730,9335,10049,8820,7885,7262,10035,8322,6787,9256,7877,8586,8518,7665,2925,5500,7500,2000,--,--,
应付账款(万元),--,--,15240,16989,17807,16257,16558,15721,16145,16204,14580,17128,17690,14877,12740,11787,12495,7231,8817,6904,10591,9811,11810,8276,7198,4080,2405,1388,3361,4677,6278,2715,3282,2687,871,
预收账款(万元),8012,5188,5199,5917,5807,7433,6135,7252,4594,4571,5369,4630,5097,3742,4621,2120,2465,2361,2587,1613,1388,3185,6246,5629,5555,4790,3472,2097,2185,1926,2568,2382,4371,1151,993,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,
应付职工薪酬(万元),364,183,130,139,593,185,131,125,1758,172,97,99,333,104,170,87,1067,105,87,78,145,121,30,41,258,350,258,255,128,--,--,1,10,5,22,
应交税费(万元),663,1083,1052,264,349,1559,1752,261,371,877,278,304,388,301,295,185,261,-8193,-7385,-7476,-7584,-2782,-2941,-1777,-2194,871,1010,283,-335,619,947,933,872,394,615,
