报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),45485,55009,88247,54661,61587,52059,52841,48213,57089,80786,44523,37418,30171,27582,22797,26939,42948,25182,19462,15512,23595,29825,16563,27370,21225,28524,23760,27442,103754,12435,14359,9456,16893,13372,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),923,273,292,266,520,45,136,137,85,57,83,35,74,77,--,--,117,24,5,--,48,--,--,131,14,70,107,133,--,--,--,--,--,129,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),--,8,30,--,4,30,17,5,109,57,128,97,90,313,61,85,599,513,421,400,752,408,210,146,215,292,117,91,229,142,127,315,409,98,
应收账款(万元),22999,17964,20386,20546,20580,14049,8615,8546,10542,6451,9333,8492,10428,8126,10971,9495,11702,6368,7622,8589,8007,6646,5029,5041,3408,5411,5168,3510,4564,3942,3748,3529,3609,3517,
预付款项(万元),10061,9329,11864,12413,12440,10879,19927,20196,11134,7145,13081,17285,22575,17126,18466,14751,10094,14909,21327,22684,23598,16257,26892,18281,26942,27324,29785,28417,8686,7370,11723,10839,2663,7545,
应收保费(万元),124,123,47,29,12,33,33,23,14,18,52,26,29,15,15,5,2,11,27,20,27,1,17,8,4,2,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收利息(万元),9,516,333,208,583,513,45,31,42,69,--,--,--,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,186,0,
其他应收款(万元),12483,12850,14397,14946,17323,19545,17957,16564,12749,15096,5396,5798,6343,5363,6696,4934,3937,3126,2478,2858,1659,2541,2675,2760,3915,2220,1673,2787,2810,2803,2523,2215,2174,9658,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
存货(万元),118125,110174,84124,87491,85881,89151,66223,63066,48386,50294,54555,67273,75750,71449,75739,91832,76082,55457,50783,53654,50162,44732,54330,51115,50712,40463,37217,38677,39359,36477,34757,27291,18671,27372,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,--,0,
其他流动资产(万元),19251,18607,6388,16137,17146,19612,13375,10162,9812,13530,8262,7402,7618,8534,8252,5695,5572,5561,430,384,392,521,178,235,247,254,115,134,165,208,231,149,87,12,
流动资产合计(万元),229459,224853,226106,206697,216076,205915,179170,166944,149962,173503,135414,143827,153078,138627,142997,153735,151053,111149,102555,104099,108241,100931,105894,105087,106681,104560,97941,101190,159566,63377,67468,53895,44693,61702,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),6421,6421,1833,3013,2883,2883,1338,1338,1908,1608,1338,1338,1338,1338,1338,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
持有至到期投资(万元),5000,5000,5000,5000,5000,5000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100,100,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,--,--,--,--,--,--,0,
长期股权投资(万元),10592,16080,11572,11139,7093,7246,7730,7818,8468,8744,9278,9528,10874,11506,11067,12024,12126,12272,12014,12159,12501,12200,12110,11887,12446,12906,12763,10555,10305,9557,8331,8171,7369,2078,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
固定资产原值(万元),--,294617,--,264561,--,233141,--,205875,--,204885,--,192413,--,189291,--,167148,--,142194,--,129174,--,122115,--,102848,--,96349,--,80084,--,76125,73957,71837,--,0,
累计折旧(万元),--,105408,--,94476,--,84333,--,76588,--,70140,--,64014,--,58803,--,53279,--,45308,--,41908,--,38308,--,34478,--,31416,--,28652,--,26187,23813,21486,--,0,
固定资产净值(万元),--,189209,--,170085,--,148808,--,129287,--,134745,--,128398,--,130488,--,113869,--,96886,--,87266,--,83808,--,68370,--,64933,--,51432,--,49939,50144,50351,--,0,
