报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),35282,38099,54858,54344,38249,43902,34632,34833,51360,27828,29084,54774,41473,39633,44584,43920,75243,55176,42993,51523,52217,43976,42580,41358,46396,43715,44360,35726,37802,41956,51320,53580,76274,107850,30817,36283,23079,26816,20657,18593,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,25,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
应收票据(万元),9370,7013,9442,5328,5690,5617,7254,3682,3810,4112,9042,3100,3572,2776,6562,4979,7663,5148,14230,3736,5579,2163,4201,3545,4768,5706,3641,1757,4005,2138,1854,1813,3258,1186,0,537,981,26,487,380,
应收账款(万元),78175,76592,78707,99923,93049,88156,85856,85434,84797,78463,66899,79700,80860,73975,70798,75667,73913,72397,70161,64392,62135,62427,61674,52735,48263,45315,40865,42059,41787,38632,35613,33205,34665,32009,29312,29109,27855,24593,21273,13859,
预付款项(万元),16318,24920,15340,19722,24658,19290,17799,16693,14738,13491,10845,11898,11039,9907,10809,12726,16173,10829,11722,41398,43227,40403,37316,43679,40782,37059,36214,33990,28814,27012,23348,25256,16751,9112,8177,13292,11050,14647,5694,3839,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
其他应收款(万元),5818,6609,6117,6543,7161,7259,8289,8573,8147,7536,3631,4410,3424,4223,2740,3499,3356,3966,3832,4906,4374,4089,3287,3502,3291,3404,2940,3892,4446,4132,2474,1854,2120,1439,1241,903,1154,993,1304,822,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
存货(万元),78998,73545,68804,68456,61411,61885,58618,58095,56998,57841,64227,63768,60995,61069,61948,66937,67615,69846,72457,78901,72119,68797,65857,64039,55140,52702,52652,53084,48292,43974,39642,39720,36787,33341,27089,27209,23192,29728,30709,28434,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
其他流动资产(万元),634,645,498,494,190,166,277,379,484,105,279,630,120,591,499,421,99,684,404,--,--,--,--,--,0,--,--,--,--,--,--,--,3,--,0,0,0,0,0,55,
流动资产合计(万元),224595,227424,233767,254810,230408,226275,212726,207690,220334,189376,184007,218282,201483,192173,198766,208149,244061,218046,215799,244857,239651,221856,214915,208859,198640,187902,180673,170508,165147,157843,154251,155429,169858,184936,96636,107334,87311,96803,80125,66006,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,
