报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),45627,57485,37111,52306,70822,67586,52820,53140,62469,57376,44362,26057,42100,46047,31048,55778,53365,50303,45357,53985,79618,98011,52080,71450,125511,79626,100146,131960,162049,123831,276880,85457,50307,36894,56883,61286,28985,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
交易性金融资产(万元),27147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16002,--,--,--,53465,3709,5000,--,0,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,45,40,--,60,10,85,15,0,0,20,--,--,--,5,0,17,0,0,
应收账款(万元),1043,2132,2526,2315,1405,2237,2219,1783,1705,2691,2669,2589,1690,3846,2912,5057,2331,3791,2820,2433,2810,2068,1597,1317,1801,2608,2179,2040,1877,3591,3267,1792,1704,2558,3629,3904,4791,
预付款项(万元),7488,9137,7024,10219,9329,8989,9112,10367,10794,11400,9446,10670,14003,17113,13232,15018,15993,41655,62442,62563,49436,58016,43778,47579,41098,44664,44364,53333,44397,43810,10761,7999,14808,26016,17400,32622,10084,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52,--,--,--,--,51,138,--,148,107,135,362,128,--,3,--,46,4,0,0,
应收股利(万元),--,--,--,--,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他应收款(万元),--,5536,5904,5492,6616,6734,5589,5633,8647,8716,7695,7798,10334,7126,5727,4944,9537,7550,5496,6553,7771,6874,7955,6030,9082,49609,64162,39726,42138,56019,7633,11608,13731,3366,3242,12634,7465,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
存货(万元),80413,82643,86959,91508,95023,98199,100016,105473,116441,151271,152968,161647,168123,167510,170549,176692,181479,202102,246115,285568,295393,263225,250930,240311,238239,33145,28489,31223,36776,31939,28230,30706,30885,24760,28795,26829,24530,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,
其他流动资产(万元),5553,11637,14994,15088,11081,15952,19054,26340,25717,22562,17624,9549,12234,14990,14755,11426,11228,28419,6235,5195,12121,5507,26616,48627,27022,87040,50981,74845,66220,25000,--,2300,2300,2300,2300,0,0,
