报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),501669,556720,765951,701074,681894,706147,668130,621647,565872,587920,494112,324687,147963,158170,142881,181150,181882,159454,140825,139822,162122,163666,93467,140985,216587,185360,80762,150436,179487,190456,111643,96440,113419,124643,58510,133546,148393,170781,147648,133698,142614,119405,131260,197721,168508,61932,58414,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
衍生金融资产(万元),826,1721,1929,3203,5817,2258,1147,1059,1127,3891,948,1335,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,0,--,--,20497,32747,46862,52379,50471,48463,72051,76954,53158,41404,57224,41461,44161,61141,80149,84220,71869,63197,77872,53069,38128,42294,29516,31130,29557,24800,22918,19874,35802,26806,42845,51321,40146,17845,24897,
应收账款(万元),154031,184395,140022,159243,144755,143157,157736,158149,172455,171046,177605,199703,82700,80462,45293,165094,139662,144417,115497,136742,148506,132643,110858,122847,113073,113447,80911,100472,105086,104896,68767,83528,80545,67422,50448,54129,46106,32791,30326,44540,46878,34395,22166,32740,20907,20743,16593,
预付款项(万元),5855,5053,6019,7178,5782,7126,7182,6198,4242,5079,4289,5939,61198,65282,61997,97464,96869,111766,85080,103939,76348,80750,68265,95382,96202,92513,95374,118999,112180,94170,75779,103217,93858,66408,66215,84239,90662,59977,54052,148282,141068,87191,61084,83436,50604,40833,53596,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收利息(万元),915,1127,969,775,62,112,104,133,94,117,49,87,--,--,--,--,--,--,--,--,--,--,--,--,--,277,481,8,7,--,13,--,6,7,16,35,63,--,9,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,112,112,112,112,--,--,--,--,--,0,0,0,
其他应收款(万元),4725,5836,4308,1811,1579,2374,2587,2798,1607,2579,2061,116118,22687,13303,18370,11088,17929,16094,15730,22479,21279,20938,29144,35486,37192,39751,36451,12968,10527,8602,5948,11223,9624,7535,7228,9304,7100,8885,7196,6528,7907,7419,6610,7153,2892,2175,8009,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
存货(万元),159392,215188,160050,145406,143619,146028,145776,158776,150530,142317,123484,123075,125535,127272,125737,171135,173760,178466,169230,141894,157138,162481,152747,166678,217605,213298,229373,227525,225590,200326,178098,181630,180477,161436,133838,129520,133697,140081,166450,171562,130346,126083,126876,103820,70544,91516,100186,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
其他流动资产(万元),55952,53390,37177,61507,44937,59380,46830,112582,27268,49638,29595,71872,44037,43411,43772,44600,43300,47288,48309,45938,47797,47898,46947,44521,46807,39247,41534,37062,36241,30704,32636,27729,31513,28180,27919,23885,21678,17451,20612,929,1035,1284,302,--,0,0,477,
流动资产合计(万元),883365,1023430,1116425,1080196,1028446,1066582,1029492,1061343,923196,962586,832144,842817,504616,520646,484912,722910,703872,705949,646724,667768,666350,649780,558653,647360,771627,745034,645035,731688,740987,692350,550756,556835,547570,497925,373689,465901,477368,454878,449323,525414,505650,402582,391142,476190,353602,235044,262172,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,0,0,0,
