报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),100585,98489,99096,92282,108209,99891,66701,21260,16752,18467,15023,15939,23432,23419,23312,22871,22819,24384,22329,21365,22592,25346,24203,24230,24476,25122,26251,29670,4010,3447,2404,946,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收票据(万元),8981,6195,5390,5478,5616,6900,3440,4444,2627,2877,2992,3396,487,495,414,499,712,578,206,505,307,255,456,263,743,607,496,172,50,83,41,101,
应收账款(万元),52199,61792,63403,61265,54056,62499,34965,32432,25164,29511,26613,26085,9876,10602,9842,9162,8676,9386,10184,8626,8630,8417,8069,7654,7033,7080,6505,7063,5764,4964,5142,3483,
预付款项(万元),3250,2390,3672,3544,3437,2835,4379,3438,2228,1597,1227,1682,766,590,440,374,460,329,549,1108,1114,581,1253,1056,1136,239,229,267,543,394,433,455,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
应收利息(万元),1316,1147,972,799,714,485,72,--,--,--,--,29,45,107,58,123,515,545,424,333,207,127,105,554,404,287,140,--,0,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
其他应收款(万元),4497,4620,6820,3100,4902,11553,88228,1622,1437,1644,4794,2876,1063,400,282,209,212,315,566,646,444,117,126,182,85,43,105,61,699,805,183,120,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,
存货(万元),65938,57523,60502,55327,51266,48135,38623,35495,35534,33735,30790,29624,12325,12906,13616,12397,11783,11170,10479,9856,8928,8176,7952,7677,7665,6936,6852,6225,5733,5225,4925,3751,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
