报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),19626,18658,18012,15155,25955,14148,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,32,--,151,125,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),105,160,75,433,23,60,
应收账款(万元),35026,28335,28793,21000,15370,17143,
预付款项(万元),5152,5083,4922,6815,9306,8808,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),959,1039,1465,1037,7581,7248,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),45776,46719,47759,63935,60789,51667,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),1237,443,1203,5348,4793,5854,
流动资产合计(万元),107880,100438,102262,113722,123967,105054,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,31804,31214,29780,29606,--,
累计折旧(万元),--,16013,15150,13774,12502,--,
固定资产净值(万元),--,15791,16064,16006,17104,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),15930,15791,16064,16006,17104,18412,
在建工程(万元),20,14,14,125,104,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),4962,4997,4999,2961,3057,3101,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),686,686,686,686,686,686,
长期待摊费用(万元),26,29,35,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),703,703,672,1922,1782,1770,
其他非流动资产(万元),--,--,--,--,--,--,
非流动资产合计(万元),22327,22219,22470,21699,22732,23968,
资产总计(万元),130207,122658,124731,135421,146699,129022,
短期借款(万元),42193,38018,37355,42156,59794,54582,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),121,121,--,287,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,1354,--,--,2039,2047,
应付账款(万元),11587,9859,13850,13821,18914,14355,
预收账款(万元),29133,27286,31410,44597,46813,40974,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),2177,2160,2153,1746,1128,1087,
应交税费(万元),1168,1677,1379,1271,595,884,
应付利息(万元),69,41,59,113,133,81,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),319,364,350,1167,1013,3657,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),86768,80878,86556,105158,130429,117668,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),450,431,465,350,350,332,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),--,--,8,--,3,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),450,431,473,350,353,332,
负债合计(万元),87218,81309,87029,105508,130781,118000,
实收资本(或股本)(万元),5585,5585,5585,5585,5000,5000,
资本公积(万元),19901,19901,19901,19901,283,323,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),4548,4548,4548,3718,3672,3239,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),12812,11218,7517,680,6789,2172,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),42785,41181,37510,29834,15812,10839,
少数股东权益(万元),204,167,192,79,105,183,
所有者权益(或股东权益)合计(万元),42989,41348,37702,29913,15917,11022,
负债和所有者权益(或股东权益)总计(万元),130207,122658,124731,135421,146699,129022,		
  
