报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),31274,40806,41785,41957,42453,41487,35623,33443,40905,39341,39634,38134,9654,7572,5600,7136,5345,3875,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),115,99,52,146,52,142,22,255,29,71,11,2,4,7,5,231,105,30,
应收账款(万元),3932,3175,3006,2460,2296,2001,1481,1505,1119,841,944,668,600,554,644,335,137,237,
预付款项(万元),406,362,486,252,213,95,78,130,306,321,2118,1762,1922,1903,1501,1330,216,519,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),146,110,125,316,289,279,1,0,19,49,153,44,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),110,125,105,151,74,77,116,94,140,81,100,69,103,112,99,51,66,45,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),2201,2429,1918,1980,1671,1764,1636,1819,1310,1320,1316,1236,971,970,962,1295,757,442,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,5,13,21,29,3,5,8,12,--,--,--,--,--,--,--,--,
其他流动资产(万元),146,179,69,74,67,179,60,60,25,2013,21,15,3,0,1,--,2,--,
流动资产合计(万元),38329,47285,47552,47349,47136,46054,39020,37312,43862,44050,44297,41930,13257,11119,8813,10378,6627,5148,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1708,1818,1958,1805,1925,1623,1147,1317,975,492,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,16165,--,15841,--,15464,--,14394,--,13617,--,9341,--,9125,8940,7459,--,--,
累计折旧(万元),--,5179,--,4637,--,4057,--,3560,--,3059,--,2665,--,2353,2195,1803,--,--,
固定资产净值(万元),--,10986,--,11204,--,11407,--,10834,--,10558,--,6676,--,6772,6745,5656,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),11062,10986,11023,11204,11282,11407,10996,10834,10522,10558,6617,6676,6687,6772,6745,5656,4058,3421,
在建工程(万元),905,638,393,375,408,400,670,751,518,237,3141,2954,2178,1738,1675,1234,2248,1106,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
