报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),42262,38864,57761,42305,36314,42860,40099,60702,33565,39523,60869,23884,23798,19797,21225,20539,21618,27640,23140,28456,46597,36871,31787,35236,29980,34921,26567,26575,27912,20364,18830,20328,23693,35491,41665,41104,39619,48156,59917,7038,5506,4478,1031,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,30,--,--,200,93,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收票据(万元),22920,20761,20736,16518,1883,18615,2643,2493,3019,3598,3364,3803,3059,2729,3237,3833,5787,4566,3305,3967,2497,2199,2107,3721,1805,1397,1313,1672,907,2472,1785,2608,1548,915,4512,2947,2972,5332,2082,218,1200,2283,211,
应收账款(万元),158042,165326,158027,194330,151104,146485,157714,123372,64714,47222,42920,41067,41062,32659,24357,24943,25896,27298,26889,27225,23385,23529,21255,22404,17373,18703,20537,20189,18520,16569,14215,17614,15319,12908,16373,15500,13573,10021,10306,8223,7283,6023,2978,
预付款项(万元),12358,8705,6671,5339,8168,11724,13452,9810,12868,7041,6672,3348,4713,3807,6106,5982,6904,5027,8663,7296,14634,5789,4506,4872,7291,5184,10696,8702,13510,16766,14966,12287,7592,6808,3877,12550,3180,3148,2792,1315,2097,1989,611,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收利息(万元),--,2206,--,3589,3073,3327,2962,1595,800,585,562,542,369,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收股利(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
其他应收款(万元),--,--,5041,1431,1623,2594,1143,1019,230,165,191,205,222,114,197,196,161,119,181,165,158,176,270,287,296,236,271,464,475,496,254,196,211,238,127,108,92,96,49,160,148,156,563,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
存货(万元),33338,35228,39798,40535,40944,35279,33582,34835,36203,31157,32937,31737,28627,30560,32026,36312,35286,36615,39269,39604,42835,37744,39511,42794,49545,44642,57703,56547,54603,44896,44280,44372,41809,37937,32408,29695,26776,23053,19616,17877,15157,9449,6137,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
其他流动资产(万元),26067,34344,18409,28815,30108,27722,25541,12507,23651,22554,528,860,516,617,470,444,387,995,331,156,105,61,730,1005,2107,2632,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
流动资产合计(万元),302254,306851,306444,332861,273216,288605,277138,246332,175049,151845,148043,105446,102366,90442,87617,92248,96039,102259,101778,106869,130225,106400,100166,110319,108597,107809,117087,114149,115926,101563,94329,97405,90172,94296,98963,101904,86212,89805,94763,34831,31392,24378,11531,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,7725,7725,7725,7725,7725,7725,7725,7725,7725,7725,7725,7725,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22024,22103,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
固定资产原值(万元),--,43768,--,43136,--,43010,--,40641,--,39216,--,38617,--,38480,--,31249,--,31071,--,28840,--,28338,--,27772,--,25066,--,21348,--,20335,--,17020,--,15989,--,10614,--,9996,--,6732,4826,0,0,
累计折旧(万元),--,20624,--,19253,--,17842,--,16607,--,15364,--,14082,--,12966,--,11622,--,10600,--,9557,--,8488,--,7402,--,6410,--,5175,--,4628,--,3838,--,3152,--,2686,--,2240,--,1900,1640,0,0,
固定资产净值(万元),--,23143,--,23883,--,25168,--,24035,--,23852,--,24535,--,25513,--,19626,--,20471,--,19283,--,19849,--,20371,--,18656,--,16173,--,15707,--,13182,--,12837,--,7928,--,7756,--,4832,3186,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
固定资产(万元),--,23143,24460,23883,24589,25168,24173,24035,23260,23852,23906,24535,25145,25513,19041,19626,20065,20471,18798,19283,19464,19849,19878,20371,18232,18656,16380,16173,16444,15707,16239,13182,13340,12837,7732,7928,7876,7756,6436,4832,3186,3141,2653,
在建工程(万元),--,83,112,849,83,83,4026,3324,2930,919,932,689,65,65,6132,5376,3704,2780,2987,2012,1614,1350,1375,1094,2533,2022,3015,2803,2309,2242,1689,4583,3624,2775,4948,1860,233,335,1202,2437,3655,307,3,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
无形资产(万元),7505,7550,7595,7640,7685,7732,7802,7852,7873,7921,7968,8015,8044,8089,8134,8179,8224,8269,8314,8359,6099,6133,6166,6200,6233,6266,6300,6333,6367,6400,6433,6467,6500,3871,1769,1504,1512,1520,1528,1536,221,226,231,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
商誉(万元),--,--,--,--,--,--,2952,2952,2952,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,14,17,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,
