报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),34286,58746,68965,85311,83375,298242,365762,366915,561066,555728,261900,272978,325475,115637,70322,49985,42061,102835,89248,60822,51495,22021,31114,19352,23532,23606,10210,13340,11109,31483,37466,54335,56609,2051,3356,3907,166,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),200,200,1527,200,210,597,20287,588,1655,1598,24406,90913,50404,40994,6817,1134,618,7493,15027,5436,135,218,227,487,95,140,115,93,28,--,--,--,--,0,0,0,0,
应收账款(万元),312430,328286,356679,361441,973992,954245,953728,868586,506096,409667,389602,335968,318370,249300,241912,189261,174461,154866,125166,95025,75997,60406,55371,37095,38242,28373,23472,17732,13348,14481,12813,6980,9449,4753,2038,2545,756,
预付款项(万元),60620,61310,61240,57439,58063,74758,63596,61933,110412,38394,38202,51818,28951,33999,32418,29872,48284,30226,34941,27074,29441,24506,32913,24677,28563,22910,26819,30143,37574,23296,14123,5421,3051,2969,940,1139,60,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
