报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),22174,16362,18192,15163,17085,5542,5015,5147,3419,3070,5250,3998,3405,3940,3591,3919,5035,5696,6998,5339,3149,2806,4499,4945,6849,9738,8245,9306,9640,12698,13597,13453,13667,15128,13996,16285,16183,19758,20826,1710,7709,3695,1846,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,0,0,0,--,0,--,--,--,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,--,
应收票据(万元),11646,11300,10866,15914,14391,10489,8208,8186,10635,9961,8925,9480,8030,9528,5321,7682,7618,7302,6234,5953,6212,5040,2929,2770,2949,3257,2518,3486,3741,3922,3483,4663,4193,4656,4103,3569,2912,2534,2040,1865,2492,1237,1873,
应收账款(万元),22696,19919,23763,23783,23584,14420,14433,14762,13955,9411,12063,13965,14821,11650,15062,14840,12575,10299,10977,11089,11112,10327,11587,12974,12406,10577,11496,11848,14627,12523,12671,12608,12647,10850,14744,15995,15498,14814,16867,16052,13013,9201,6251,
预付款项(万元),8691,1402,3835,3169,3500,342,1328,1117,378,420,2118,511,654,684,625,691,685,248,676,960,1436,1078,2011,2219,2882,3152,3299,2999,2090,1730,2246,1548,2315,1459,1411,1225,1940,1826,2711,3175,1283,799,1391,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,--,
