报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2006-12-31,
货币资金(万元),69445,80022,82699,65694,59687,68384,77704,11944,28062,18817,38286,43454,28576,23239,33527,28505,30786,31378,38498,26623,33696,32170,41890,35097,36404,40931,44903,40829,48971,9567,11667,10744,3966,7210,6378,7180,3784,7891,3988,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
应收票据(万元),868,2103,1655,1757,1705,2005,3176,1712,2935,2690,1832,921,423,673,907,1698,617,235,835,299,623,837,798,396,324,325,265,282,184,147,156,94,0,110,35,47,845,453,459,
应收账款(万元),79578,76336,84962,66254,59905,58013,52510,55993,48820,42219,41192,61470,58120,46423,39153,31454,24749,20195,20768,27079,19177,20230,16907,17944,17470,12684,13371,16528,14477,13006,11925,11387,10825,9957,8582,6768,5867,5937,6158,
预付款项(万元),21206,12183,3089,3119,2609,2407,2340,4913,4107,5872,1560,9245,4709,8703,4169,5946,7272,6481,5314,4218,11165,9116,9231,6389,6497,5800,4996,5957,3798,2968,1727,2460,3532,2756,2172,1791,1542,1651,196,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,158,--,--,--,65,72,--,117,261,232,65,--,--,0,--,--,0,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
其他应收款(万元),11457,9866,8462,8993,8479,8164,7007,8908,7425,8077,7504,1011,1065,1164,625,687,735,548,407,995,927,876,572,644,909,249,226,802,610,655,324,284,239,257,221,295,376,145,1640,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
存货(万元),19156,14926,15595,15982,13809,12205,13340,13870,13785,12851,13968,13686,13080,12619,13319,15043,24463,27314,27505,17828,11498,11050,7460,10222,9747,6407,4330,5318,3423,3091,2429,2323,1784,1893,1756,1321,1848,1335,941,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
其他流动资产(万元),1155,936,733,218,415,653,331,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
流动资产合计(万元),202865,196372,197196,162017,146609,151831,156407,97340,105134,90527,104341,129786,105972,92822,91700,83333,88780,86151,93327,77043,77152,75351,76859,70808,71612,66629,68157,69717,71463,29435,28229,27292,20346,22183,19144,17401,14262,17411,13383,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
可供出售金融资产(万元),21627,21627,20427,20427,20377,20377,20377,20332,20072,19772,19772,11915,10820,5580,4580,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,0,
