报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),230304,228909,220290,175445,189036,138475,196794,180953,393169,158077,138508,95405,90380,79568,84509,54760,50583,53816,47322,39372,38224,47522,48868,33054,33453,37653,58368,52373,36242,51242,47827,31297,28179,26319,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),42680,42680,--,--,3909,1805,--,--,420,549,--,--,--,--,-1008,1089,339,1397,1281,--,--,1150,1610,987,1581,775,102,--,210,539,380,2781,529,8,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),6942,15282,2946,9209,9027,5451,4518,8177,7508,12142,8700,9913,11217,18273,15882,7770,17886,11674,21744,28614,19868,10740,12091,25793,23531,7415,8476,7799,5697,4506,7188,3508,2263,4474,
应收账款(万元),206123,197216,326211,270236,210738,238855,263256,187142,98641,66345,81188,90309,64042,55143,59568,97368,38019,45873,67503,76602,63215,58704,61785,63218,55560,61516,56142,67996,35464,31498,30755,21675,23624,20185,
预付款项(万元),16349,7765,10393,31817,16209,16954,12424,15472,33090,7394,11114,7900,5850,4371,19165,27596,29826,13335,20932,19032,20014,20475,19378,16357,20869,16647,18529,22643,11164,15754,12472,14823,15752,10677,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,1898,--,1704,6256,4497,4003,3278,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,17303,81709,63936,48997,35316,6164,2591,5109,3812,3399,5427,4129,1222,6988,7573,8233,11617,3046,5029,6750,7325,8093,5068,664,550,333,176,195,246,134,1838,2269,444,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),84847,78854,54374,73611,70948,86186,72189,91684,97390,75558,41052,61788,59437,63170,51178,72583,87663,79465,53454,51245,61524,62074,44820,55582,62108,47607,35722,38334,44423,40897,42382,32413,22200,17768,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),30886,58157,106217,135173,166348,217602,170775,159402,6120,6369,2525,6370,3758,33419,2371,3672,3514,4629,4661,361,239,12112,1994,3628,2031,2053,--,--,--,--,--,--,--,--,
流动资产合计(万元),637430,648063,802140,761131,721468,745141,730122,648699,641445,330247,286486,277112,238813,255167,238654,272411,236063,221805,219944,220255,209834,220101,198640,203688,199797,174217,177672,189320,133396,144682,141139,108335,94817,79874,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),131751,131751,84134,83934,68734,67934,61794,34402,8951,4100,3500,1500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
