报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),32161,40411,30973,74219,14143,12248,16705,11727,15055,16606,23051,26288,29155,26943,34755,40079,7100,7746,3150,2394,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,4500,4500,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),10589,5967,7427,6778,3110,4455,3243,6421,5874,4897,5605,6232,7284,5927,4978,5096,4575,4313,3861,2480,
应收账款(万元),42969,42241,46355,42522,20859,18565,15401,14478,14712,14852,12693,13307,12893,12073,12781,11391,10366,9141,8235,6213,
预付款项(万元),4373,2560,3168,3839,2306,2309,2274,1766,1597,2088,3189,5101,3343,2576,846,800,1281,257,386,2314,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1870,706,588,957,857,3008,2834,1144,177,617,584,193,246,295,379,260,887,794,756,364,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),25982,22392,18898,16602,7171,7820,5468,4601,4694,4672,5070,4063,4617,4159,3789,3827,3962,4446,3477,3330,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2538,2896,5352,5454,1053,1617,5717,5145,5043,5231,232,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),120482,117173,112862,150370,49498,50022,51642,45283,47152,53463,54924,55184,57537,51974,57528,61453,28171,26696,19866,17095,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),6584,5000,5000,5000,5000,3000,3500,3500,3500,3500,3500,3500,500,500,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,1584,--,--,--,--,--,--,--,--,--,--,--,500,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),91455,--,86883,--,54952,--,39305,--,35547,--,12878,--,12643,--,10589,--,10036,9536,--,--,
累计折旧(万元),27728,--,25084,--,17511,--,6353,--,5192,--,4392,--,3852,--,3264,--,2847,2444,--,--,
固定资产净值(万元),63727,--,61798,--,37441,--,32952,--,30355,--,8486,--,8790,--,7324,--,7189,7092,--,--,
固定资产减值准备(万元),--,--,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),63727,60784,61778,48453,37441,37254,32952,31774,30355,31184,8486,8637,8790,8979,7324,7081,7189,7092,7153,5583,
在建工程(万元),22517,18010,16220,22191,18009,14203,12008,9655,10979,9257,24675,19535,18455,14947,12663,9744,7892,4982,205,665,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),25298,24101,24360,20137,10611,10685,10222,10225,10293,10172,6188,6308,6266,6305,5619,2659,2678,2717,2737,806,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),64646,64646,64646,70150,2910,2981,1394,1394,1394,1394,1394,1422,1422,1450,--,--,--,--,--,--,
