报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),354460,361224,356196,361490,316137,357902,252151,330342,239575,297866,4789,8817,7797,28433,28076,41945,94762,129500,125089,122075,137413,85005,141962,150959,139269,130495,173447,171201,166569,76388,85888,62532,41317,51677,24309,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融资产(万元),642488,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,--,--,--,--,--,--,94,227,206,250,714,405,881,523,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),11756,10839,8547,7380,6137,4436,5385,4022,2932,2067,--,--,--,--,100,--,--,--,--,--,3576,5247,15,2999,2717,331,96,95,--,--,3000,--,500,--,--,
应收账款(万元),186826,169044,197782,206778,238798,165021,153084,198310,139450,173113,--,--,1068,1205,12754,16131,18892,17533,40917,43884,53416,25083,19924,14552,29804,21251,7391,11000,13798,16750,17457,16705,3065,751,55,
预付款项(万元),58619,48814,95766,40562,62371,35454,31195,32753,29279,13206,--,--,911,798,31227,30109,30832,38589,306365,281613,242398,182620,193515,193336,127783,99252,76141,74602,69486,60240,58810,64165,70895,76537,83695,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收利息(万元),1369,2052,--,180,847,772,27,1029,1091,1101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他应收款(万元),--,217628,237207,91110,105361,100276,61254,66654,65687,55427,131422,129151,28286,33357,176015,171070,192973,193093,16325,7815,12537,3992,8704,11107,5197,4764,4337,5800,8061,4578,8137,8790,6853,1922,2826,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
存货(万元),84777,94356,71072,83657,80311,69562,46387,62616,54569,76716,--,--,77741,71677,222692,273785,263571,242356,235393,219589,154603,203911,194046,213829,215345,213746,200346,154806,194111,205272,223196,223091,218309,256461,205529,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他流动资产(万元),94519,70087,61431,80140,54995,46920,44120,44109,25603,14269,--,--,2933,3864,15287,18872,22360,20881,11220,19772,17913,24501,9967,13115,25436,26707,17587,6287,1787,1787,--,--,--,--,--,
流动资产合计(万元),1606237,974043,1028002,871297,864956,780342,593604,739834,558185,633766,136211,137969,118737,139334,486151,551912,623390,641953,735327,694749,621857,530360,568133,599897,545552,496639,479571,423996,454062,365728,396893,376164,341462,387349,316415,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,752721,738430,395379,422590,455396,401562,343359,287653,380846,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,31150,38100,496656,31730,13554,28104,17584,77314,24817,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期应收款(万元),7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,--,--,12407,12464,17314,16654,16782,17045,88875,89614,90400,76495,65745,65893,36114,16792,--,0,--,--,--,--,--,--,--,
长期股权投资(万元),1339558,839623,806930,797899,738439,715724,699756,677889,671633,649852,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产原值(万元),--,3953526,--,3958309,--,3939553,--,3751281,--,3655328,--,--,--,310688,--,288180,--,288307,--,140690,--,138373,--,128208,--,127341,--,106011,--,97014,--,--,34800,32967,--,
累计折旧(万元),--,1569330,--,1583248,--,1496415,--,1429852,--,1346796,--,--,--,48208,--,41756,--,34848,--,21435,--,19060,--,16508,--,14002,--,11779,--,9695,--,--,7951,5923,--,
固定资产净值(万元),--,2384196,--,2375062,--,2443138,--,2321430,--,2308532,--,--,--,262481,--,246424,--,253459,--,119255,--,119313,--,111700,--,113338,--,94231,--,87319,--,--,26849,27044,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,112094,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),--,2384196,2332024,2375062,2432950,2443138,2381168,2321430,2266414,2308532,--,--,147507,150387,242755,246424,252104,253459,118363,119255,120216,119313,110909,111700,112286,113338,100489,94231,93160,87319,27180,28968,26849,27044,27001,
在建工程(万元),--,37891,64030,56508,45644,55258,138396,180972,235920,195399,--,--,--,--,2161,2160,2505,2250,7890,9578,12734,9464,13030,12630,12101,11317,20753,19450,16818,14188,55259,44709,28125,1250,1039,
工程物资(万元),--,11,--,2,61,474,96,68,968,76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,--,--,--,0,--,--,0,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
