报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),283228,302058,311879,339006,245568,271167,278916,265685,280450,315358,286829,273540,276351,305132,368735,307973,280024,211204,300486,288803,268609,298105,179717,170989,189760,175632,218067,219452,204072,292031,250179,267055,236962,195303,240336,247226,202702,175392,55983,105239,33174,60590,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收票据(万元),3985,3770,4812,4454,4036,3380,5525,4178,3312,2159,2341,4044,2843,685,1051,1785,4232,4110,3257,4054,4004,2342,6185,8264,9525,9441,7353,4929,6216,4477,5477,4085,8174,9297,11643,15185,14047,6728,5390,8095,8315,17649,
应收账款(万元),60960,43852,47997,45468,53170,38818,47955,40563,44534,39190,41493,45266,46696,32092,32352,41284,37905,28696,34017,45669,36389,30575,31022,44276,37015,26551,29050,39241,45593,31460,41830,30385,39963,31396,36549,28167,30238,20549,18106,19256,18266,19250,
预付款项(万元),31845,24374,63411,44679,19535,23561,38261,29645,22757,18329,16234,9903,13173,17831,15331,10442,10209,8931,21354,12887,13572,10097,25292,19215,11625,16275,28623,24455,23425,18519,49811,18535,15135,20434,28511,22440,11887,16089,2983,5314,9200,4004,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,
