报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),7181,10092,15178,13620,26676,27492,36031,43825,18835,23049,20889,20708,12586,34105,36146,29269,22701,24327,35134,34980,34232,38764,49079,47250,13089,9237,14747,16054,16857,28483,34890,38964,42844,44106,53572,66096,8826,7575,4135,3227,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收票据(万元),3559,4137,15125,14464,16152,12087,2994,1848,403,399,559,6319,330,100,270,574,322,1706,1253,597,890,686,706,1472,259,1006,498,832,342,145,243,756,150,139,83,215,396,408,704,0,
应收账款(万元),102558,101687,91737,109695,84748,112037,100750,102350,46276,60203,62674,60626,26088,27546,27729,29319,33667,34615,36414,38281,42200,42783,44784,44974,44026,48377,47107,48337,44299,39970,35806,36743,34568,31946,27429,24560,19644,17614,10773,9032,
预付款项(万元),2476,3823,2571,2143,3307,3137,3718,1894,3010,3374,2611,943,24495,3470,2095,1053,2831,2541,3141,1953,7201,4203,5014,3643,7393,6090,9468,6577,18222,7893,6749,4821,2521,1811,1444,1486,1446,899,1513,1223,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,
