报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),277674,116732,325510,98229,164014,223608,170043,268690,284158,186788,141794,155645,87357,61397,60613,74154,43209,106426,78550,63376,51183,141079,76853,29875,120186,123527,184016,206589,276583,66875,40493,29511,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,386,--,--,--,--,--,--,--,--,--,--,--,--,--,887,303,4576,--,1813,--,--,--,90,1700,--,51,902,2555,179,--,
衍生金融资产(万元),--,--,--,2008,340,2017,--,--,265,720,1621,631,59,1505,246,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),87931,71901,35698,35493,70650,44801,29419,21815,26425,25544,14789,21563,46684,56871,45385,83838,156958,235942,252703,213236,159920,138445,150783,103315,69296,111651,153217,115794,77231,45606,21114,12371,
应收账款(万元),29871,24311,40994,21364,53723,50052,62219,31164,48832,33012,17036,13469,16990,12025,20626,10122,12910,12230,15660,11807,4642,5361,6062,7253,15063,13494,9604,5216,6084,6513,7422,5629,
预付款项(万元),56562,83681,51587,71716,38790,43945,23389,45643,17656,35270,14480,35312,53306,31598,31915,55315,45645,44773,19348,68851,42567,41804,35983,123031,105195,107472,80921,198584,103516,66604,11891,33473,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,271,296,101,166,--,10,742,1224,65,734,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,370,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1597,855,1615,4848,5779,4944,6890,6199,6305,10109,9392,4022,3306,4126,2166,4836,3794,4482,1487,4573,4855,4419,1011,5675,5324,5761,5171,1659,1748,1355,2141,448,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),329558,374521,266699,253643,266730,387502,208823,218692,226453,266160,209723,243548,240854,252386,180726,248988,198782,232018,201593,217979,213251,289617,179846,189735,189731,158099,106729,109481,94011,88732,77732,40826,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),54536,128978,64989,168414,130181,127873,245974,175032,218409,67913,115714,78283,74533,95993,95097,87686,71791,67282,72107,54210,50586,70269,56531,31,--,--,--,177,--,--,--,--,
流动资产合计(万元),837728,801248,787773,655816,730375,884743,746767,767977,829728,625582,525283,552473,523087,515901,436774,564939,533977,703457,646024,634032,528817,690994,507069,458915,504884,521704,539659,637551,560446,278241,160972,122259,
