报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
货币资金(万元),83232,93625,135079,193645,92186,82610,46117,91591,103903,85122,87065,112823,84018,106657,99795,157759,28844,81040,81069,111129,109324,137663,87289,97380,104455,118182,131934,16382,10293,16434,7986,13427,8385,11164,5572,4873,2998,6233,2094,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000,--,0,--,2000,0,1000,150,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
应收票据(万元),21127,17029,19364,19355,19041,20775,21554,20089,12442,9492,10164,11588,12031,8524,7872,10310,9152,5822,5049,5164,3016,1896,1018,982,491,--,250,20,--,--,0,--,0,0,0,--,--,--,--,
应收账款(万元),153282,155462,144435,162094,153329,159293,153035,158250,153318,149541,124583,134244,122015,102789,78638,86036,91252,84558,72346,65211,55611,50896,46924,47250,47796,46204,28453,19075,12739,13928,5484,14124,2923,9021,19108,13567,1823,8930,3922,
预付款项(万元),4537,2929,4524,2934,4747,5445,4900,3667,2261,2304,2056,1352,2251,1581,1016,856,1410,1234,992,872,1156,1239,831,807,9120,5604,1108,703,802,391,1286,692,0,137,3493,813,2889,23,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
应收利息(万元),--,29,25,0,33,28,72,26,158,198,129,21,25,325,373,17,14,125,191,243,795,273,84,1210,861,605,--,--,--,--,0,--,0,0,0,--,--,--,--,
应收股利(万元),--,--,--,--,--,71,--,--,--,--,--,--,--,410,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,
