报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),11952,10699,10147,5700,5350,6639,5995,5180,2449,4117,4093,6914,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),4032,3203,2047,2740,2622,1616,1079,1262,2546,2348,236,995,
应收账款(万元),23986,23477,27119,25679,23259,20712,21183,17576,17311,18686,15706,8610,
预付款项(万元),903,928,867,452,847,439,773,1104,373,446,332,132,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),343,371,398,729,632,766,793,691,674,463,406,456,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),14696,13319,12932,14157,12849,12100,10133,10672,9471,7454,8258,6893,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),15706,14732,17663,767,470,1133,1081,201,254,17,1320,325,
流动资产合计(万元),71619,66730,71174,50223,46029,43406,41036,36686,33078,33532,30351,24325,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1500,1500,1500,1500,1500,1500,1500,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),846,766,805,771,580,449,348,260,167,153,213,149,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),876,907,938,969,1000,1031,1094,1156,1218,1343,1467,1582,
固定资产原值(万元),--,35940,--,32659,--,31338,29093,--,--,--,--,--,
累计折旧(万元),--,17596,--,16541,--,15601,14921,--,--,--,--,--,
固定资产净值(万元),--,18343,--,16117,--,15737,14172,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),18603,18343,16709,16117,15840,15737,14172,12298,10635,7928,7368,6573,
在建工程(万元),1528,1429,999,511,726,654,733,680,989,4,361,270,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,1,10,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),580,522,537,552,531,545,446,452,464,505,517,534,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),977,970,1019,1086,942,987,1061,1119,1071,557,313,253,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),730,730,663,705,642,606,526,466,437,337,286,92,
其他非流动资产(万元),1116,1466,1301,768,258,392,227,671,591,179,245,408,
非流动资产合计(万元),26756,26633,24471,22979,22020,21911,20107,17102,15573,11007,10769,9862,
资产总计(万元),98374,93363,95645,73202,68049,65317,61143,53788,48651,44539,41120,34187,
短期借款(万元),--,100,100,9000,8000,7800,8600,7690,5790,7787,9413,9409,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),2325,1249,1753,1847,1734,1880,1014,620,568,681,133,182,
应付账款(万元),11590,9885,11730,13625,12493,12522,11670,10555,9620,9171,8811,5378,
预收账款(万元),184,190,218,159,193,149,84,233,354,95,142,195,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2139,1836,1455,3077,1868,1555,2164,1418,1765,1549,1569,1310,
应交税费(万元),721,765,586,470,866,659,674,625,725,667,380,407,
应付利息(万元),--,0,0,12,19,23,60,16,46,34,17,11,
应付股利(万元),108,108,--,--,--,150,0,--,132,117,2144,665,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),360,250,845,264,306,216,291,197,252,412,1370,2363,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
